Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclMethodAll,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountDeclClassMethod,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode
File,CompositeSubscriptionTest.java,,,0,,,,61,0,,49,362,0.06
File,ComputationSchedulerPerf.java,,,1,,,,3,0,,3,36,0.42
File,ComputationSchedulerTests.java,,,2,,,,15,0,,12,126,0.13
File,ConcatMapInterablePerf.java,,,9,,,,19,0,,17,127,0.17
File,ConcatPerf.java,,,3,,,,4,0,,3,39,0.56
File,ConcatTests.java,,,0,,,,8,0,,8,121,0.13
File,ConcurrentCircularArrayQueue.java,,,19,,,,14,0,,13,75,1.31
File,ConcurrentSequencedCircularArrayQueue.java,,,2,,,,5,0,,4,35,0.51
File,ConnectableObservable.java,,,0,,,,9,0,,8,36,2.42
File,ConnectableObservableTest.java,,,0,,,,11,0,,10,118,0.13
File,CovarianceTest.java,,,0,,,,23,0,,21,172,0.2
File,DeferredScalarPerf.java,,,5,,,,9,0,,9,64,0.34
File,DeferredScalarSubscriber.java,,,5,,,,25,0,,11,103,0.51
File,DeferredScalarSubscriberSafe.java,,,1,,,,5,0,,3,26,0.88
File,DeferredScalarSubscriberTest.java,,,0,,,,33,0,,24,297,0.05
File,DeprecatedSchedulersTest.java,,,0,,,,9,0,,7,44,0.34
File,EmptyObservableHolder.java,,,1,,,,4,1,,2,16,1.56
File,ErrorHandlingTests.java,,,0,,,,8,0,,8,61,0.39
File,EventLoopsScheduler.java,,,12,,,,27,0,,16,139,0.24
File,EventStream.java,,,3,,,,9,3,,7,60,0.45
File,EventStreamTest.java,,,0,,,,1,0,,1,8,1.88
File,ExceptionUtilsTest.java,,,1,,,,5,0,,4,38,0.42
File,Exceptions.java,,,0,,,,28,9,,10,100,1.21
File,ExceptionsNullTest.java,,,0,,,,10,0,,10,54,0.33
File,ExceptionsTest.java,,,0,,,,58,0,,56,272,0.11
File,ExceptionsUtils.java,,,0,,,,12,4,,4,43,1.12
File,ExecutorScheduler.java,,,6,,,,23,0,,10,124,0.35
File,ExecutorSchedulerTest.java,,,1,,,,23,0,,21,195,0.08
File,Experimental.java,,,0,,,,0,0,,0,16,1.31
File,FlatMapAsFilterPerf.java,,,6,,,,15,0,,9,73,0.3
File,FlatMapPerf.java,,,3,,,,5,0,,5,41,0.54
File,FlatMapRangePerf.java,,,3,,,,5,0,,5,40,0.55
File,FromComparison.java,,,7,,,,13,0,,12,77,0.29
File,FromIterablePerf.java,,,3,,,,9,0,,8,53,0.42
File,Func0.java,,,0,,,,1,0,,1,6,3.17
File,Func1.java,,,0,,,,1,0,,1,4,5
File,Func2.java,,,0,,,,1,0,,1,4,5.25
File,Func3.java,,,0,,,,1,0,,1,4,5.5
File,Func4.java,,,0,,,,1,0,,1,4,5.75
File,Func5.java,,,0,,,,1,0,,1,4,6
File,Func6.java,,,0,,,,1,0,,1,4,6.25
File,Func7.java,,,0,,,,1,0,,1,4,6.5
File,Func8.java,,,0,,,,1,0,,1,4,6.75
File,Func9.java,,,0,,,,1,0,,1,4,7
