Kind,Name,CountDeclMethodAll,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,MaxInheritanceTree,PercentLackOfCohesion,CountDeclClassMethod
Class,"content::ShellResourceDispatcherHostDelegate",7,0,1,1,0,7,1,1,85,0
Class,"content::ShellURLRequestContextGetter",6,0,1,4,0,6,11,1,100,0
File,"crash_handler_host_linux.cc",,2,,,,,,,,
File,"crash_handler_host_linux.h",,0,,,,,,,,
File,"dispatcher.cc",,0,,,,,,,,
File,"dispatcher.h",,0,,,,,,,,
File,"dispatcher_bindings.cc",,0,,,,,,,,
File,"dispatcher_bindings.h",,0,,,,,,,,
File,"dispatcher_host.cc",,0,,,,,,,,
File,"dispatcher_host.h",,0,,,,,,,,
File,"file_select_helper.cc",,2,,,,,,,,
File,"file_select_helper.h",,0,,,,,,,,
File,"gpu_internals.cc",,0,,,,,,,,
File,"gpu_internals.h",,0,,,,,,,,
File,"hard_error_handler_win.cc",,1,,,,,,,,
File,"hard_error_handler_win.h",,0,,,,,,,,
File,"media_capture_devices_dispatcher.cc",,0,,,,,,,,
File,"media_capture_devices_dispatcher.h",,0,,,,,,,,
File,"media_internals.cc",,0,,,,,,,,
File,"media_internals.h",,0,,,,,,,,
File,"media_stream_devices_controller.cc",,1,,,,,,,,
File,"media_stream_devices_controller.h",,0,,,,,,,,
File,"menu.cc",,0,,,,,,,,
File,"menu.h",,0,,,,,,,,
File,"menu_delegate_win.cc",,0,,,,,,,,
File,"menu_delegate_win.h",,0,,,,,,,,
File,"menu_gtk.cc",,1,,,,,,,,
File,"menu_win.cc",,0,,,,,,,,
File,"menuitem.cc",,0,,,,,,,,
File,"menuitem.h",,0,,,,,,,,
File,"menuitem_delegate_mac.h",,0,,,,,,,,
File,"menuitem_gtk.cc",,0,,,,,,,,
File,"menuitem_win.cc",,0,,,,,,,,
File,"native_window.cc",,1,,,,,,,,
File,"native_window.h",,0,,,,,,,,
File,"native_window_gtk.cc",,0,,,,,,,,
File,"native_window_gtk.h",,0,,,,,,,,
File,"native_window_helper_mac.h",,0,,,,,,,,
File,"native_window_mac.h",,0,,,,,,,,
File,"native_window_toolbar_win.cc",,0,,,,,,,,
File,"native_window_toolbar_win.h",,0,,,,,,,,
File,"native_window_win.cc",,0,,,,,,,,
File,"native_window_win.h",,0,,,,,,,,
Class,"net::AppProtocolHandler",4,0,1,5,0,4,1,1,100,0
File,"net_disk_cache_remover.cc",,1,,,,,,,,
File,"net_disk_cache_remover.h",,0,,,,,,,,
Class,"nw::AutofillAgent",16,0,3,3,0,16,3,1,100,0
Class,"nw::CapturePageHelper",9,0,2,4,0,7,2,1,100,1
Abstract Class,"nw::NativeWindow",45,0,0,7,3,44,4,0,97,1
