Kind,Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountDeclMethodAll,CountClassCoupled,PercentLackOfCohesion
File,"AddressGeocacheListLoader.java",2,,,,,
File,"AddressListActivity.java",8,,,,,
File,"AddressListAdapter.java",10,,,,,
File,"AnchorAwareLinkMovementMethod.java",4,,,,,
File,"AndroidLevel13.java",2,,,,,
File,"AndroidLevel13Emulation.java",3,,,,,
File,"AndroidLevel13Interface.java",2,,,,,
File,"AndroidLevel19.java",1,,,,,
File,"AndroidLevel19Emulation.java",1,,,,,
File,"AndroidLevel19Interface.java",1,,,,,
File,"AngleUtils.java",4,,,,,
File,"AngleUtilsTest.java",2,,,,,
File,"AnimationFactory.java",5,,,,,
File,"AnimatorAnimationFactory.java",12,,,,,
File,"ApiUtils.java",4,,,,,
File,"App.java",5,,,,,
File,"AppCompatReflector.java",6,,,,,
File,"ApplicationSettings.java",1,,,,,
File,"AsyncTaskWithProgress.java",18,,,,,
File,"AttributeFilter.java",6,,,,,
File,"AutoCompleteAdapter.java",9,,,,,
File,"AutoZoomTest.java",5,,,,,
File,"BlockingThreadPool.java",2,,,,,
File,"BottomAwareScrollView.java",5,,,,,
File,"BundleUtils.java",2,,,,,
File,"CGeoMap.java",241,,,,,
File,"CGeoTestCase.java",10,,,,,
File,"CacheAttribute.java",13,,,,,
File,"CacheAttributeTest.java",8,,,,,
File,"CacheCache.java",16,,,,,
File,"CacheComparator.java",0,,,,,
File,"CacheDetailActivity.java",338,,,,,
File,"CacheDetailsCreator.java",40,,,,,
File,"CacheListActivity.java",280,,,,,
File,"CacheListAdapter.java",108,,,,,
File,"CacheListApp.java",1,,,,,
File,"CacheListAppFactory.java",11,,,,,
File,"CacheListSpinnerAdapter.java",6,,,,,
File,"CacheListType.java",4,,,,,
File,"CacheLogsViewCreator.java",17,,,,,
File,"CacheMenuHandler.java",18,,,,,
File,"CacheNavigationApp.java",2,,,,,
File,"CachePopup.java",6,,,,,
File,"CachePopupFragment.java",29,,,,,
File,"CacheSize.java",13,,,,,
File,"CacheSizeTest.java",5,,,,,
File,"CacheType.java",20,,,,,
File,"CacheTypeTest.java",8,,,,,
File,"CachesOverlay.java",37,,,,,
