Project	ECGF	CPFD	NOF	SDC	NOOC	MAXNESTING	FANIN	LDA	NOAV	LOC	OCIO	DR	NOIC	WOC	CYCLO	LOCOMM	ALD	ICIO	NOMOD	TCC	NOLV	IF	NOGF	ATFD	NOPAR	SEC	FDP	FANOUT	LCC	LB	NOGV	ICDO	OCDO	NOMV	TIME_IDX	TIME_INFUS	TIME_DUDE
samba-3.3.7	6525	7963	20841	11125188	170256	33996	83293	7099.81	201559	633232	68315	10362.69	152546	236951	236951	34937	3456	68449	2926	200.2	65080	109.37	10940	81137	56590	10478334	37704	93471	242.68	4184.42	2292	23096	41874	3458	741.7	2716.62	135.61
SCP_VX_B207	1289	586	4824	38884	22487	6401	9743	2601.35	35182	206111	6078	1518.81	18741	30983	30983	53231	3146	6170	395	40.8	7812	35.5	4597	19401	7123	36418	7700	11460	49.75	554.1	1096	2611	4020	1350	45.05	252.49	15.51
screem-0.17.1	707	221	2662	9422	29776	2973	5639	1122.48	18213	81075	3060	1007.86	6378	10160	10160	2987	335	3065	208	47.09	7954	11.94	1011	5186	5845	8976	2806	20722	60.46	125.77	12	1495	2207	201	7.2	26.62	1.91
streamripper-1.64.6	128	105	444	1100	2577	570	770	228.52	3788	14032	456	159.6	1516	2291	2291	1355	80	457	76	10.16	1720	1.79	224	1417	933	1084	412	1201	11.38	8	16	231	334	101	5.04	5.93	0.25
StrongDC++222_src	0	0	106	0	77	5	0	106	63	257	0	0	0	68	68	5	0	0	1217	8	11	68	97	0	109	0	0	75	8	0	52	0	0	70	5.02	163.77	0.05
subversion-1.6.3	1996	1961	12704	13366255	114990	24716	53050	6899.53	137768	462830	29113	4265.56	74113	110483	110483	31036	6844	29710	1292	77.85	71339	53.02	2549	23762	45086	12351279	10915	77937	92.42	4526.29	698	9570	14150	6601	111.42	980.49	115.1
TTMU	2148	851	9345	68762	39702	10783	22916	5723.5	55882	332511	16255	3682.25	33358	45171	45171	74163	3810	16940	358	28.55	16510	12.36	8772	28004	11576	65256	8775	26317	36.33	890.78	1919	6491	11705	2388	186.11	1083.42	34.3
vi-ex-050325	344	214	619	322	3684	1130	1862	233.17	4698	23013	1291	235.97	2859	5974	5974	3505	244	1291	65	11.46	1087	2	563	2765	839	306	951	2356	14.24	7	424	899	736	494	5.04	6.24	0.91
vim72	1456	512	5612	19216	30119	8226	13893	3309.73	28008	220137	8387	1795.53	20231	42629	42629	36248	2410	8431	113	10.34	10446	6	2507	14141	793	18020	6285	21148	15.57	108.9	305	4224	5231	1539	14.43	62.67	49.84
wireshark-1.2.1	4368	4567	20573	365864	193913	21253	72017	15381.4	287935	1020642	56324	8478.04	156625	120830	120830	93290	146276	56509	2334	658.66	55691	105.37	7587	36131	59862	325744	15041	91057	821.41	2612.9	2698	28078	30054	125833	231.28	808.14	479.81
xine-lib-1.1.16.3	1548	2501	15088	81974	54370	15203	16377	9157.61	95178	339237	6667	2610.94	27396	68952	68952	28229	2232	6853	2550	96.66	29653	65.73	5135	44575	25639	78280	12553	32513	112.16	825.39	1746	4062	4752	4017	58.47	225.33	30.61
XPUa1	1388	134	5046	146314	33852	8653	10577	1959.66	59206	309348	5231	1695.41	14968	51905	51905	38315	94	6105	207	10.78	16592	10.76	4946	34651	9652	126664	9384	17310	11.04	1432.46	130	2343	3457	133	53.18	388.27	49.25
XPUa2	1324	121	19245	78596	39788	7157	7705	16397.91	50509	247239	3634	1398.64	11461	36635	36635	28438	138	3742	278	24.99	13744	13.6	19204	29593	40292	69544	5753	17666	25.84	1025.41	247	1937	2503	251	53.26	339.28	27.02
zsnes_1_51	140	95	1154	2822	5164	1312	1149	975.89	6388	27349	306	133.47	2122	5514	5514	3447	2689	322	116	17.4	1592	9.78	910	1455	828	2684	490	2593	21.29	28.49	1474	210	221	1625	5.02	8.52	0.51
faac	927	152	2354	15861	9600	3543	3336	1100.79	17775	67524	2510	642.68	5312	10991	10991	6806	737	2242	698	42.68	6170	35.2	1848	6663	4942	15430	1637	5900	49.72	150	385	1707	1591	782	36	74.38	2.42
coreutils-7.6	506	306	3243	41138	27203	4039	5236	2601.94	16444	108541	3471	1116.87	9957	24550	24550	17321	2135	3489	818	295.78	7756	3.84	1776	2516	7747	38148	952	9483	308.31	223.46	265	2628	3081	1286	9.72	29.77	4.45
snort	503	740	2200	4458	8260	2645	2566	1196.16	12473	61835	1376	522.18	4321	9006	9006	10229	553	1376	356	31.94	2621	21.14	1825	6564	4273	4246	2593	4106	39.38	101	273	980	1008	390	11.03	21.4	1.98
splint-3.1.2	3289	411	7535	12018	53103	9527	28102	4405.86	28026	147245	22038	2812.61	48852	35674	35674	16406	1584	22040	917	210.14	8354	24.97	6286	10538	11127	11356	4792	30713	218.47	171.13	573	7819	12622	974	48.67	150.68	6.05
valgrind-3.5.0	1524	549	14230	152426	79036	8807	24670	11586.33	52456	246592	11621	3495.37	71936	65197	65197	40062	4726	11925	905	277.49	20957	50.66	8674	13334	16702	144262	4916	29187	300.81	595.82	1716	4816	7403	2924	31.68	185.11	13.18
screem-0.17.1	707	221	2662	9422	29776	2973	5639	1122.48	18213	81075	3060	1007.86	6378	10160	10160	2987	335	3065	208	47.09	7954	11.94	1011	5186	5845	8976	2806	20722	60.46	125.77	12	1495	2207	201	7.2	26.62	1.91
net-snmp-5.5.pre3-trimmed	2062	1924	6856	479044	48966	11890	20650	3897.28	41252	241193	17075	2496.67	36449	51147	51147	41153	2962	16939	1178	98.15	12034	81.39	5678	16327	14974	447478	6076	27760	128.71	1114.53	1371	7213	9370	2247	87.36	139.8	121.16
coreutils-7.6	506	306	3243	41138	27203	4039	5236	2601.94	16444	108541	3471	1116.87	9957	24550	24550	17321	2135	3489	818	295.78	7756	3.84	1776	2516	7747	38148	952	9483	308.31	223.46	265	2628	3081	1286	10.03	30.09	4.41
posix2	1528	2035	6237	8956	26480	7824	13904	3870.74	31195	146645	10399	2307.32	24536	35912	35912	17949	4793	10407	957	253.4	11101	148.78	5096	13054	4793	8526	6269	15226	295.03	196.62	1713	6297	7430	3702	42.93	69.2	11.52
