Kind,Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountDeclMethodAll,CountClassCoupled,PercentLackOfCohesion
File,"DateUtilsTest.java",4,,,,,
File,"DecryptTextClickListener.java",5,,,,,
File,"Destination.java",9,,,,,
File,"DestinationTest.java",2,,,,,
File,"Dialogs.java",27,,,,,
File,"DifficultyComparator.java",2,,,,,
File,"DifficultyFilter.java",4,,,,,
File,"DifficultyFilterTest.java",2,,,,,
File,"DirectionImage.java",2,,,,,
File,"DirectionProvider.java",19,,,,,
File,"DistanceComparator.java",9,,,,,
File,"DistanceComparatorTest.java",3,,,,,
File,"DistanceFilter.java",7,,,,,
File,"DistanceParser.java",6,,,,,
File,"DistanceParserTest.java",4,,,,,
File,"DistanceView.java",7,,,,,
File,"DownloadMapsWithMeDialog.java",4,,,,,
File,"DownloadStaticMapsApp.java",5,,,,,
File,"ECApi.java",38,,,,,
File,"ECApiTest.java",1,,,,,
File,"ECConnector.java",37,,,,,
File,"ECConnectorTest.java",3,,,,,
File,"ECLoggingManager.java",5,,,,,
File,"ECLogin.java",15,,,,,
File,"EditNoteDialog.java",6,,,,,
File,"EditPasswordPreference.java",5,,,,,
File,"EditUtils.java",7,,,,,
File,"EditWaypointActivity.java",68,,,,,
File,"EmulatorStateTest.java",1,,,,,
File,"EventDateComparator.java",0,,,,,
File,"Export.java",2,,,,,
File,"ExportFactory.java",4,,,,,
File,"ExportTest.java",5,,,,,
File,"FieldNotes.java",6,,,,,
File,"FieldNotesCapability.java",1,,,,,
File,"FieldnoteExport.java",25,,,,,
File,"FileManagerIntents.java",0,,,,,
File,"FileParser.java",9,,,,,
File,"FileSelectionListAdapter.java",8,,,,,
File,"FileUtils.java",30,,,,,
File,"FilterUserInterface.java",13,,,,,
File,"FilteredActivity.java",1,,,,,
File,"FinderGeocacheListLoader.java",3,,,,,
File,"FindsComparator.java",2,,,,,
File,"Formatter.java",26,,,,,
File,"FormatterTest.java",4,,,,,
File,"FragmentListActivity.java",16,,,,,
File,"GC1ZXX2.java",21,,,,,
File,"GC2CJPF.java",26,,,,,
File,"GC2JVEH.java",28,,,,,
File,"GC3XX5J.java",21,,,,,
File,"GCBaseTest.java",1,,,,,
File,"GCConnector.java",71,,,,,
File,"GCConnectorTest.java",7,,,,,
File,"GCConstants.java",5,,,,,
File,"GCConstantsTest.java",8,,,,,
File,"GCLoggingManager.java",19,,,,,
File,"GCLogin.java",69,,,,,
File,"GCMap.java",64,,,,,
File,"GCParser.java",281,,,,,
File,"GCParserTest.java",17,,,,,
File,"GCSmiliesProvider.java",8,,,,,
File,"GCVote.java",52,,,,,
File,"GCVoteRating.java",4,,,,,
File,"GPX10Parser.java",2,,,,,
File,"GPX11Parser.java",2,,,,,
File,"GPXImporter.java",69,,,,,
File,"GPXImporterTest.java",25,,,,,
File,"GPXListAdapter.java",8,,,,,
File,"GPXParser.java",138,,,,,
File,"GPXParserTest.java",36,,,,,
File,"GccApp.java",4,,,,,
File,"GeneralOverlay.java",3,,,,,
Public Class,"GenerateAttributes",8,1,0,6,1,0
Static Class,"GenerateAttributes.AttrInfo",0,1,0,0,0,0
File,"GenerateAttributes.java",20,,,,,
Class,"GenerateAttributes.parseAttributes.(Anon_1)",12,1,0,3,2,11
File,"GeoData.java",11,,,,,
File,"GeoDataProvider.java",46,,,,,
File,"GeoDirHandler.java",15,,,,,
File,"GeoPointFormatterTest.java",2,,,,,
File,"GeoPointImpl.java",2,,,,,
File,"GeoPointParserTest.java",21,,,,,
File,"Geocache.java",352,,,,,
File,"GeocacheTest.java",24,,,,,
File,"GeocachingAustraliaConnector.java",6,,,,,
File,"GeocodeComparator.java",2,,,,,
File,"GeokretyConnector.java",9,,,,,
File,"GeokretyConnectorTest.java",4,,,,,
File,"GeokretyParser.java",16,,,,,
File,"GeokretyParserTest.java",1,,,,,
File,"GeopeitusConnector.java",6,,,,,
File,"Geopoint.java",71,,,,,
File,"GeopointFormatter.java",14,,,,,
File,"GeopointNavigationApp.java",1,,,,,
File,"GeopointParser.java",21,,,,,
File,"GeopointTest.java",27,,,,,
File,"GoogleCacheOverlay.java",19,,,,,
File,"GoogleCacheOverlayItem.java",3,,,,,
File,"GoogleGeoPoint.java",2,,,,,
File,"GoogleMapActivity.java",22,,,,,
File,"GoogleMapController.java",6,,,,,
File,"GoogleMapItemFactory.java",2,,,,,
File,"GoogleMapProjection.java",3,,,,,
File,"GoogleMapProvider.java",11,,,,,
File,"GoogleMapView.java",29,,,,,
File,"GoogleMapsApp.java",7,,,,,
File,"GoogleMapsDirectionApp.java",6,,,,,
File,"GoogleNavigationApp.java",7,,,,,
File,"GoogleOverlay.java",7,,,,,
File,"GpxExport.java",21,,,,,
File,"GpxFileListActivity.java",10,,,,,
File,"GpxFileListActivityTest.java",7,,,,,
File,"GpxSerializer.java",47,,,,,
File,"GpxSerializerTest.java",12,,,,,
File,"HistoryGeocacheListLoader.java",3,,,,,
File,"HtmlImage.java",51,,,,,
File,"HtmlImageCounter.java",2,,,,,
File,"HtmlPerformanceTest.java",10,,,,,
File,"HtmlUtils.java",8,,,,,
File,"HtmlUtilsTest.java",1,,,,,
File,"IAbstractActivity.java",4,,,,,
File,"ICache.java",27,,,,,
File,"ICalendar.java",0,,,,,
File,"IConnector.java",31,,,,,
File,"IContacts.java",0,,,,,
File,"IConversion.java",0,,,,,
File,"ICoordinates.java",1,,,,,
File,"ICredentials.java",2,,,,,
File,"IFileSelectionView.java",4,,,,,
File,"IFilter.java",3,,,,,
File,"IFilterFactory.java",1,,,,,
File,"IGeoData.java",10,,,,,
File,"ILogable.java",2,,,,,
File,"ILoggingManager.java",6,,,,,
File,"ILogin.java",5,,,,,
File,"IOCAuthParams.java",9,,,,,
File,"ISearchByCenter.java",1,,,,,
File,"ISearchByFinder.java",1,,,,,
File,"ISearchByGeocode.java",1,,,,,
File,"ISearchByKeyword.java",1,,,,,
File,"ISearchByOwner.java",1,,,,,
File,"ISearchByViewPort.java",1,,,,,
File,"IWaypoint.java",3,,,,,
File,"IconDecoder.java",165,,,,,
File,"IconDecoderTest.java",37,,,,,
File,"Image.java",18,,,,,
File,"ImageResult.java",3,,,,,
File,"ImageSelectActivity.java",37,,,,,
File,"ImageUtils.java",29,,,,,
File,"ImageUtilsTest.java",1,,,,,
File,"ImagesActivity.java",12,,,,,
File,"ImagesList.java",28,,,,,
File,"IndexOutOfBoundsAvoidingTextView.java",9,,,,,
File,"InfoPreference.java",9,,,,,
File,"IntentIntegrator.java",50,,,,,
File,"IntentResult.java",9,,,,,
File,"Intents.java",1,,,,,
File,"InternalCacheListMap.java",3,,,,,
File,"InternalMap.java",5,,,,,
File,"InvalidXMLCharacterFilterReader.java",15,,,,,
File,"InvalidXMLCharacterFilterReaderTest.java",2,,,,,
File,"InventoryComparator.java",1,,,,,
File,"InverseComparator.java",2,,,,,
File,"ItemizedOverlayImpl.java",7,,,,,
File,"KXmlSerializer.java",101,,,,,
File,"Keyboard.java",5,,,,,
File,"KeywordGeocacheListLoader.java",3,,,,,
File,"LazyInitializedList.java",12,,,,,
