sol,861231,859,859,859,859,0
ans,861231,103,103,103,103,200
alx,861231,83,83,83,83,100
sid,861231,241,241,241,241,0
bid,861231,159,159,159,159,0
eml,861231,196,196,196,196,0
pnx,861231,594,594,594,594,2700
ccl,861231,251,251,251,251,22100
rtm,861231,60,60,60,60,500
fcl,861231,27,27,27,27,0
snm,861231,315,315,315,315,0
bsd,861231,39,39,39,39,7000
rgc,861231,470,470,470,470,28300
bds,861231,150,150,150,150,36500
mod,861231,262,265,262,262,8800
ual,861231,13,14,13,13,114000
mgg,861231,24,24,24,24,12000
crs,861231,15,15,15,15,36900
ihn,861231,52,52,52,52,0
gpt,861231,263,263,260,263,13700
ror,861231,155,155,155,155,5700
wrf,861231,127,127,127,127,0
dtv,861231,366,366,366,366,0
ncl,861231,276,276,276,276,0
rbs,861231,204,204,204,204,200
jen,861231,191,191,174,191,6700
cim,861231,58,58,58,58,2000
fhf,861231,230,230,230,230,1100
wmt,861231,252,252,252,252,0
qrl,861231,160,162,160,160,316400
shr,861231,190,190,190,190,0
arn,861231,425,425,425,425,0
moh,861231,21,21,21,21,0
plp,861231,228,235,228,228,69300
cpv,861231,128,128,128,128,0
sks,861231,149,149,149,149,0
kgm,861231,710,710,700,710,24600
age,861231,212,212,212,212,0
emd,861231,230,230,230,230,0
fbg,861231,375,375,366,375,656400
mlg,861231,121,121,121,121,18800
nio,861231,208,208,208,208,7500
vpe,861231,9,9,9,9,0
qst,861231,72,72,72,72,0
wmc,861231,295,296,295,295,439700
mac,861231,140,140,140,140,0
sed,861231,72,74,72,72,41800
ldn,861231,2450,2450,2450,2450,0
bil,861231,691,691,691,691,4100
lko,861231,43,43,43,43,0
xpta,861231,96380,97110,96260,96690,0
lyg,861231,23,23,23,23,8500
bpt,861231,65,66,65,65,7000
scm,861231,134,134,134,134,0
abc,861231,301,301,301,301,33300
eqk,861231,75,75,75,75,4000
fmh,861231,207,207,207,207,0
jsm,861231,610,610,610,610,0
ahd,861231,150,150,150,150,2000
nml,861231,325,325,325,325,5000
sst,861231,225,225,225,225,100
aov,861231,108,108,108,108,0
ash,861231,242,242,242,242,0
wwh,861231,154,154,154,154,0
mdr,861231,62,62,62,62,1000
dat,861231,30,30,30,30,1000
nfm,861231,492,492,490,492,224600
pia,861231,170,170,170,170,0
gvm,861231,225,225,225,225,1200
cnw,861231,42,42,42,42,0
cho,861231,362,362,362,362,2200
ahy,861231,17,17,17,17,28000
mpo,861231,180,184,180,180,28900
mag,861231,130,130,130,130,0
aqc,861231,75,75,75,75,0
ggr,861231,48,48,48,48,0
ctr,861231,88,88,88,88,25400
lsc,861231,75,75,75,75,0
glp,861231,19,19,19,19,0
gal,861231,22,22,22,22,0
mim,861231,136,136,136,136,67300
nom,861231,348,348,338,348,171700
vpm,861231,100,100,100,100,0
aui,861231,186,186,186,186,0
kbs,861231,192,192,192,192,0
gpa,861231,2250,2250,2250,2250,0
wdi,861231,392,392,392,392,0
swh,861231,213,213,213,213,0
cad,861231,175,175,175,175,0
dor,861231,28,28,28,28,0
scx,861231,17,17,17,17,0
fri,861231,380,380,380,380,5000
cis,861231,30,30,30,30,153600
osh,861231,90,90,90,90,30100
dmc,861231,384,384,384,384,1400
eac,861231,222,222,222,222,0
bgm,861231,13,13,13,13,400000
cpc,861231,30,30,30,30,2700
pmu,861231,270,270,270,270,0
gmf,861231,282,282,282,282,29200
bkw,861231,1961,1961,1961,1961,200
mtk,861231,63,63,63,63,11100
wsl,861231,214,214,214,214,1200
tnt,861231,282,282,282,282,9700
ssn,861231,22,22,21,22,61200
wjm,861231,301,301,301,301,200
gow,861231,282,282,282,282,0
csd,861231,175,175,175,175,0
khl,861231,100,100,100,100,25000
hco,861231,204,204,204,204,28400
amc,861231,373,373,369,373,8300
lmc,861231,32,32,32,32,7000
run,861231,163,163,163,163,0
ssl,861231,48,48,48,48,0
kup,861231,99,99,95,99,200
tny,861231,50,50,50,50,0
cfr,861231,23,23,22,23,48000
tmm,861231,75,75,75,75,0
tal,861231,135,135,135,135,200
btg,861231,40,40,40,40,17900
olh,861231,121,121,121,121,0
aum,861231,89,89,89,89,0
era,861231,720,720,720,720,300
cvn,861231,52,52,52,52,8100
jrv,861231,7,7,7,7,2100
cpm,861231,57,57,57,57,0
nts,861231,26,26,24,26,18500
ops,861231,327,327,327,327,0
mtb,861231,22,22,22,22,0
bmp,861231,154,154,154,154,0
grv,861231,26,26,26,26,0
bhp,861231,605,610,605,607,468600
bry,861231,265,268,265,265,36200
apg,861231,27,27,27,27,0
pdp,861231,291,294,291,291,47800
alc,861231,120,120,120,120,2000
erg,861231,149,149,149,149,3800
dnr,861231,49,49,49,49,0
wdp,861231,51,51,51,51,10000
gsr,861231,315,315,315,315,2200
isr,861231,69,69,65,69,21200
imm,861231,142,144,137,142,0
syl,861231,65,65,65,65,0
gep,861231,68,68,68,68,50000
ate,861231,53,53,53,53,0
pgo,861231,325,325,325,325,2100
gcm,861231,7,7,7,7,24000
tru,861231,933,933,933,933,0
krs,861231,170,170,170,170,200
klz,861231,132,132,132,132,0
bog,861231,50,50,50,50,800
jla,861231,490,526,490,490,1800
grt,861231,85,85,85,85,63600
cnl,861231,225,225,225,225,200
flc,861231,298,298,293,298,600
alk,861231,138,138,138,138,1100
fim,861231,15,15,15,15,0
abf,861231,311,311,311,311,0
ara,861231,6703,6703,6664,6703,1100
seq,861231,228,228,228,228,0
nps,861231,40,40,40,40,0
mln,861231,33,33,33,33,0
hrl,861231,102,102,101,102,65100
ape,861231,275,275,275,275,100
brh,861231,65,65,65,65,0
tct,861231,373,373,373,373,0
caa,861231,120,120,120,120,0
lan,861231,140,140,140,140,0
tgl,861231,7,7,7,7,0
mrh,861231,67,67,67,67,2600
bhh,861231,256,256,256,256,13400
plu,861231,166,166,166,166,1800
ged,861231,74,74,74,74,30000
fec,861231,725,725,725,725,0
sdy,861231,136,136,136,136,0
tkr,861231,240,240,235,240,8300
psa,861231,62,62,62,62,0
her,861231,60,60,60,60,6000
sdi,861231,45,45,45,45,0
bae,861231,48,48,48,48,0
clm,861231,80,80,80,80,3700
tth,861231,277,277,277,277,12600
far,861231,55,55,55,55,0
afi,861231,101,101,100,101,21000
adv,861231,98,98,98,98,0
anf,861231,227,227,227,227,0
cly,861231,180,180,180,180,200
smi,861231,327,327,327,327,4200
oec,861231,390,390,390,390,0
wad,861231,88,88,88,88,0
ccn,861231,100,100,100,100,200
gri,861231,750,750,750,750,3000
cna,861231,448,448,448,448,6000
mex,861231,22,22,22,22,0
mgl,861231,27,27,27,27,0
mat,861231,92,92,92,92,3500
srp,861231,152,154,152,152,10400
zel,861231,350,350,350,350,200
amx,861231,269,269,265,269,54400
wbc,861231,376,376,374,376,67500
mrc,861231,55,59,55,55,2900
ctm,861231,88,88,88,88,1900
brd,861231,44,44,44,44,0
nph,861231,159,159,159,159,0
awa,861231,234,234,234,234,114500
cag,861231,62,65,62,62,43700
gwf,861231,17,17,17,17,0
hma,861231,137,137,137,137,0
ach,861231,202,202,202,202,100
vee,861231,30,30,30,30,0
akc,861231,264,264,264,264,0
ghr,861231,197,197,197,197,8300
dsf,861231,52,52,52,52,0
bwt,861231,220,220,220,220,0
fai,861231,405,405,405,405,208700
ala,861231,195,195,195,195,1200
ynx,861231,22,22,22,22,3000
sub,861231,30,30,30,30,8000
pcm,861231,236,238,236,236,37600
rai,861231,38,38,38,38,2300
cmc,861231,235,235,225,235,4000
wba,861231,130,130,130,130,3300
mgt,861231,7,7,7,7,10000
zap,861231,45,45,45,45,6700
prm,861231,72,72,72,72,14500
mmm,861231,130,130,130,130,0
pni,861231,293,293,292,293,20700
ctx,861231,170,170,170,170,10000
kgr,861231,14,15,14,14,48200
wtp,861231,64,64,64,64,4000
hlx,861231,109,109,109,109,3800
hao,861231,14,14,14,14,0
utl,861231,1193,1193,1193,1193,0
emm,861231,16,16,16,16,0
whk,861231,52,52,52,52,0
bnw,861231,140,140,140,140,10000
cmt,861231,151,151,151,151,2500
smc,861231,110,110,102,110,163700
rvi,861231,99,99,99,99,0
ewl,861231,2606,2606,2606,2606,100
acp,861231,227,227,227,227,400
wnr,861231,125,125,125,125,0
gma,861231,140,140,140,140,0
fdr,861231,11,11,11,11,0
vec,861231,170,170,170,170,72000
dci,861231,978,978,898,978,300
wyl,861231,183,183,183,183,16800
bgf,861231,78,78,78,78,10400
ssc,861231,103,103,103,103,33100
hah,861231,243,243,243,243,2000
weg,861231,263,263,263,263,0
bic,861231,217,217,207,217,18700
lei,861231,77,77,75,77,3600
pae,861231,31,31,31,31,0
crr,861231,1187,1187,1187,1187,0
btr,861231,69,69,67,69,265400
rag,861231,193,193,193,193,72400
pfp,861231,157,157,157,157,100
auc,861231,306,307,304,306,244000
gpy,861231,89,89,89,89,0
ckg,861231,39,39,39,39,10500
ici,861231,274,274,274,274,4700
bpc,861231,237,237,237,237,20000
ion,861231,10,10,10,10,2500
nlb,861231,73,73,73,73,0
zex,861231,143,143,137,143,11100
nci,861231,84,84,84,84,0
eqt,861231,400,400,400,400,200
dks,861231,179,179,179,179,0
met,861231,363,363,363,363,0
abd,861231,23,23,23,23,0
jod,861231,384,384,384,384,400
aog,861231,72,72,72,72,5500
exi,861231,94,94,94,94,0
cog,861231,34,34,34,34,17000
hak,861231,160,160,160,160,0
pha,861231,83,83,83,83,0
cmx,861231,85,85,85,85,12500
cin,861231,517,517,517,517,0
nab,861231,418,421,418,418,151900
wak,861231,99,99,99,99,200
ptd,861231,188,188,188,188,0
mom,861231,50,50,50,50,123000
bkl,861231,90,90,90,90,0
aro,861231,52,54,50,52,102500
hcl,861231,350,350,350,350,2600
ark,861231,28,28,28,28,0
bgd,861231,115,115,115,115,5000
kmt,861231,267,267,267,267,500
irc,861231,310,310,306,310,4400
vss,861231,1012,1012,1012,1012,100
nbh,861231,213,213,210,213,125400
ppp,861231,7,7,7,7,25700
crt,861231,82,82,82,82,700
scn,861231,35,35,35,35,16800
olp,861231,55,55,55,55,0
rth,861231,455,455,455,455,18100
hil,861231,159,159,159,159,2700
mah,861231,165,165,165,165,800
mlt,861231,362,362,362,362,200
ssg,861231,433,433,433,433,500
cri,861231,419,419,419,419,0
agd,861231,56,56,56,56,0
cbn,861231,33,33,33,33,0
nmp,861231,101,101,101,101,2300
lvg,861231,30,30,30,30,57600
cdg,861231,32,32,32,32,0
cnt,861231,17,17,17,17,6000
gdm,861231,61,61,61,61,3100
cvc,861231,37,37,37,37,0
wvi,861231,22,22,22,22,5000
dav,861231,270,270,270,270,0
grm,861231,40,40,40,40,0
dom,861231,66,66,66,66,5800
skl,861231,185,185,185,185,700
cud,861231,220,220,220,220,2500
dgd,861231,34,34,34,34,141000
gme,861231,16,16,16,16,17900
bsg,861231,131,131,131,131,200
mld,861231,216,216,216,216,700
txr,861231,15,15,15,15,0
pch,861231,110,110,110,110,1000
iiv,861231,20,20,20,20,0
bty,861231,162,162,160,162,8100
cbl,861231,18,18,18,18,0
gmk,861231,152,152,150,152,9500
chr,861231,143,143,143,143,300
quf,861231,198,198,198,198,0
ldw,861231,80,80,80,80,0
npc,861231,450,474,450,450,4700
gsm,861231,64,64,64,64,0
bdg,861231,74,74,74,74,4300
llr,861231,53,53,53,53,6000
whf,861231,86,86,86,86,0
seg,861231,36,36,36,36,100
adh,861231,56,56,56,56,300
lgo,861231,12,12,12,12,0
gdp,861231,55,55,55,55,0
len,861231,9,9,9,9,1100
hsh,861231,800,800,800,800,0
bqd,861231,159,159,159,159,1000
erh,861231,35,35,35,35,1000
chp,861231,13,13,13,13,500
sft,861231,188,188,188,188,0
aca,861231,130,130,125,130,35500
agl,861231,305,305,305,305,500
blo,861231,48,48,48,48,0
afu,861231,74,74,74,74,600
cni,861231,69,69,69,69,0
gra,861231,31,31,31,31,16200
vrg,861231,11,11,11,11,0
gnt,861231,143,150,143,143,146200
tre,861231,45,45,45,45,0
cml,861231,211,212,211,211,21300
nng,861231,61,69,61,61,17700
zyl,861231,94,94,94,94,1300
aua,861231,175,175,175,175,0
ase,861231,60,60,60,60,0
ect,861231,73,73,73,73,0
pmt,861231,540,540,540,540,0
wfi,861231,129,129,129,129,0
pat,861231,142,142,142,142,0
pmm,861231,314,314,314,314,100
cip,861231,138,138,138,138,900
aul,861231,16,16,16,16,7000
cir,861231,40,40,40,40,0
awi,861231,81,81,81,81,5300
dio,861231,74,74,74,74,900
wpl,861231,150,152,150,150,319000
bsc,861231,72,76,72,72,6900
edi,861231,146,146,146,146,0
sov,861231,86,86,86,86,5200
cex,861231,337,337,337,337,6300
mmf,861231,198,198,198,198,0
vki,861231,140,140,140,140,700
cpl,861231,209,209,209,209,1100
spt,861231,118,118,118,118,0
shv,861231,122,122,122,122,0
csr,861231,355,358,355,358,347000
miv,861231,83,83,72,83,4000
mzg,861231,73,73,73,73,14000
ptz,861231,148,148,132,148,12300
reh,861231,417,417,417,417,0
smh,861231,473,473,473,473,100
spa,861231,43,43,43,43,0
qbe,861231,131,131,131,131,500
mch,861231,88,88,88,88,0
aad,861231,154,154,151,154,1400
tir,861231,35,35,35,35,0
sbo,861231,31,31,31,31,16200
ani,861231,167,170,167,167,102000
pgt,861231,110,110,110,110,0
clr,861231,184,184,179,184,5200
wme,861231,92,92,92,92,0
ghi,861231,117,117,117,117,20000
hng,861231,68,72,68,68,0
sza,861231,149,149,149,149,17900
wes,861231,121,121,121,121,300
ncp,861231,316,316,309,316,795900
mlp,861231,260,260,260,260,1000
tya,861231,1920,1920,1920,1920,700
rio,861231,683,685,681,685,188900
ppt,861231,640,640,640,640,0
hmt,861231,417,417,417,417,36400
ccc,861231,30,30,30,30,500
gci,861231,490,490,490,490,0
deh,861231,220,220,220,220,3000
msf,861231,467,467,467,467,0
blm,861231,17,18,17,17,4300
bor,861231,343,343,338,341,111100
abg,861231,30,30,30,30,0
kov,861231,57,57,57,57,600
rmw,861231,2000,2000,2000,2000,0
atr,861231,700,700,700,700,0
cng,861231,185,186,185,185,14200
mem,861231,227,227,227,227,200
hrw,861231,39,39,39,39,0
ocn,861231,66,66,66,66,0
tgm,861231,60,60,60,60,0
pby,861231,178,178,178,178,200
nix,861231,50,50,50,50,0
cwl,861231,70,70,70,70,0
drm,861231,70,70,70,70,0
set,861231,219,219,219,219,0
cne,861231,9,9,9,9,0
sfc,861231,105,105,105,105,0
gul,861231,92,92,92,92,2000
bur,861231,225,225,225,225,0
mxt,861231,17,17,17,17,0
gpl,861231,17,17,17,17,84000
