sol,861230,859,859,859,859,0
ans,861230,103,103,103,103,200
alx,861230,79,79,79,79,100
sid,861230,228,228,228,228,0
bid,861230,159,159,159,159,0
eml,861230,196,196,196,196,1500
pnx,861230,594,594,594,594,2700
ccl,861230,251,251,251,251,1800
rtm,861230,60,60,60,60,0
fcl,861230,27,27,27,27,0
snm,861230,300,300,300,300,0
bsd,861230,40,40,40,40,1000
rgc,861230,475,475,475,475,6000
bds,861230,150,150,150,150,36500
mod,861230,262,262,262,262,11400
ual,861230,14,14,14,14,66000
mgg,861230,24,24,24,24,43000
crs,861230,14,15,14,14,124700
ihn,861230,52,52,52,52,0
gpt,861230,260,260,259,260,51700
ror,861230,155,155,155,155,5300
wrf,861230,127,127,127,127,4000
dtv,861230,366,366,366,366,0
ncl,861230,276,276,276,276,0
rbs,861230,204,204,204,204,0
jen,861230,164,164,164,164,592300
cim,861230,59,59,58,59,26000
fhf,861230,219,219,219,219,0
wmt,861230,264,264,264,264,20000
qrl,861230,160,163,160,160,398800
shr,861230,190,190,190,190,0
arn,861230,425,425,425,425,1300
moh,861230,21,21,21,21,0
plp,861230,235,240,235,235,8300
cpv,861230,128,128,128,128,0
sks,861230,149,149,149,149,0
kgm,861230,700,710,700,700,31400
age,861230,212,212,212,212,0
emd,861230,230,230,230,230,0
fbg,861230,366,368,366,366,523000
mlg,861230,125,127,125,125,1222700
nio,861230,206,206,206,206,0
vpe,861230,9,9,9,9,0
qst,861230,72,72,72,72,0
wmc,861230,295,295,293,295,545900
mac,861230,140,140,140,140,0
sed,861230,73,73,73,73,2200
ldn,861230,1200,1200,1200,1200,0
bil,861230,682,682,680,682,182500
lko,861230,43,43,43,43,0
xpta,861230,95420,96820,95420,96380,0
lyg,861230,22,22,21,22,24200
bpt,861230,66,66,66,66,1500
scm,861230,134,134,134,134,0
abc,861230,301,301,301,301,5500
eqk,861230,75,77,75,75,30000
fmh,861230,207,207,207,207,0
jsm,861230,610,610,610,610,0
ahd,861230,144,144,144,144,0
nml,861230,330,330,330,330,1000
sst,861230,225,225,225,225,0
aov,861230,108,108,108,108,500
ash,861230,237,239,237,237,0
wwh,861230,154,154,154,154,0
mdr,861230,62,62,62,62,0
dat,861230,30,30,30,30,83000
nfm,861230,490,490,486,490,6500
pia,861230,170,170,170,170,0
gvm,861230,210,210,210,210,0
cnw,861230,42,42,42,42,0
cho,861230,362,362,362,362,2200
ahy,861230,17,17,17,17,0
mpo,861230,180,180,168,180,34700
mag,861230,137,137,137,137,0
aqc,861230,74,74,74,74,0
ggr,861230,48,48,48,48,0
ctr,861230,85,85,82,85,55900
lsc,861230,75,75,75,75,1000
glp,861230,18,18,18,18,16100
gal,861230,22,22,22,22,0
mim,861230,136,136,134,136,140800
nom,861230,338,348,338,338,31200
vpm,861230,100,100,100,100,0
aui,861230,186,186,186,186,0
kbs,861230,184,184,184,184,0
gpa,861230,2250,2250,2250,2250,0
wdi,861230,392,392,392,392,0
swh,861230,213,213,213,213,0
cad,861230,175,175,175,175,0
dor,861230,28,28,28,28,0
scx,861230,17,17,17,17,0
fri,861230,380,380,380,380,0
cis,861230,30,30,30,30,0
osh,861230,90,90,89,90,26700
dmc,861230,390,390,390,390,1300
eac,861230,222,222,222,222,0
bgm,861230,13,13,12,13,274000
cpc,861230,30,30,30,30,2700
pmu,861230,270,270,270,270,0
gmf,861230,282,282,282,282,1700
bkw,861230,1961,1961,1961,1961,0
mtk,861230,62,62,62,62,0
wsl,861230,210,210,210,210,900
tnt,861230,286,286,286,286,2400
ssn,861230,21,22,21,21,8700
wjm,861230,301,301,301,301,0
gow,861230,282,282,282,282,0
csd,861230,175,175,175,175,0
khl,861230,100,100,100,100,50000
hco,861230,212,212,212,212,3900
amc,861230,373,378,373,373,15700
lmc,861230,32,32,32,32,0
run,861230,163,163,163,163,0
ssl,861230,48,48,48,48,6300
kup,861230,98,98,98,98,200
tny,861230,60,60,60,60,0
cfr,861230,22,22,21,22,45000
tmm,861230,75,75,75,75,0
tal,861230,135,135,135,135,200
btg,861230,40,40,39,40,4800
olh,861230,121,121,121,121,0
aum,861230,89,89,89,89,46800
era,861230,760,760,760,760,0
cvn,861230,52,52,52,52,4900
jrv,861230,7,7,7,7,36500
cpm,861230,51,51,51,51,500
nts,861230,24,24,24,24,2500
ops,861230,327,327,327,327,2200
mtb,861230,22,22,22,22,0
bmp,861230,154,154,154,154,0
grv,861230,26,26,26,26,0
