gma,861121,120,120,120,120,21600
sid,861121,220,220,220,220,0
alx,861121,67,68,67,67,4900
eml,861121,203,207,200,203,9000
pnx,861121,186,186,186,186,5400
ccl,861121,208,208,208,208,47100
rtm,861121,53,53,53,53,20000
fcl,861121,25,25,25,25,4500
wyl,861121,178,178,178,178,1800
bgf,861121,65,65,65,65,4600
hah,861121,215,215,215,215,4000
bsd,861121,44,44,43,44,205000
bic,861121,138,138,138,138,3000
lei,861121,77,77,77,77,130600
rgc,861121,430,431,430,430,84700
pae,861121,39,39,39,39,36700
crr,861121,1495,1495,1451,1495,900
bds,861121,155,155,155,155,54500
btr,861121,58,59,58,58,477000
rag,861121,183,183,182,183,819400
pfp,861121,169,169,169,169,8100
gpy,861121,81,81,81,81,0
auc,861121,288,292,288,288,177500
mgg,861121,25,25,25,25,41000
ckg,861121,50,50,50,50,8000
ihn,861121,52,52,52,52,0
ici,861121,211,213,211,211,57100
gpt,861121,258,258,254,258,47200
bpc,861121,218,218,216,218,60000
wrf,861121,147,147,147,147,18000
ion,861121,11,11,11,11,7500
dtv,861121,287,287,287,287,1400
nlb,861121,73,73,73,73,7500
ncl,861121,232,232,228,232,18600
zex,861121,192,192,181,192,6000
jen,861121,169,169,169,169,8800
dks,861121,167,167,167,167,200
met,861121,301,301,301,301,6600
cim,861121,45,45,45,45,27000
wmt,861121,288,300,288,288,780000
fhf,861121,235,235,235,235,2200
qrl,861121,162,164,162,162,47800
shr,861121,230,230,220,230,11000
jod,861121,361,361,358,361,3900
aog,861121,65,65,65,65,100
arn,861121,417,417,417,417,15400
cog,861121,29,29,29,29,21500
hak,861121,140,140,140,140,0
pha,861121,83,83,83,83,600
moh,861121,21,21,21,21,0
plp,861121,260,265,260,260,68200
cmx,861121,68,68,60,68,98000
cin,861121,492,492,492,492,300
nab,861121,369,369,365,369,731300
ptd,861121,152,152,152,152,0
kgm,861121,780,780,780,780,10000
fbg,861121,333,333,331,333,1149100
emd,861121,260,260,260,260,0
mlg,861121,129,129,129,129,13200
pay,861121,80,80,80,80,0
qst,861121,75,75,75,75,2000
wmc,861121,244,246,241,244,2059300
bkl,861121,97,97,97,97,1100
aro,861121,33,33,32,33,25000
mac,861121,156,156,156,156,10700
sed,861121,66,66,66,66,0
hcl,861121,243,243,240,243,10500
ark,861121,16,16,16,16,0
kmt,861121,267,267,267,267,300
irc,861121,382,382,382,382,200
bil,861121,636,655,636,636,222800
vss,861121,1045,1045,1045,1045,600
nbh,861121,217,217,213,217,448700
ppp,861121,7,7,7,7,105700
crt,861121,77,77,77,77,7700
lko,861121,48,48,48,48,4200
xpta,861121,93230,94140,93040,94140,0
lyg,861121,18,18,18,18,130800
rth,861121,402,402,402,402,0
scn,861121,30,30,30,30,23000
hil,861121,162,162,162,162,5100
bpt,861121,58,58,57,58,41500
mah,861121,161,161,161,161,1900
ssg,861121,416,416,416,416,3500
scm,861121,102,102,102,102,0
agd,861121,56,56,56,56,0
cbn,861121,28,28,28,28,0
nmp,861121,101,101,101,101,27700
abc,861121,223,223,223,223,16600
fmh,861121,194,194,194,194,0
jsm,861121,654,654,654,654,1300
nml,861121,310,310,310,310,0
sst,861121,240,240,240,240,1200
cnt,861121,16,16,16,16,50000
gdm,861121,64,64,64,64,0
cvc,861121,32,32,32,32,19900
wvi,861121,20,20,20,20,5000
dav,861121,211,211,211,211,2000
aov,861121,104,104,104,104,0
ash,861121,204,205,201,204,0
dat,861121,28,28,28,28,39000
nfm,861121,414,414,402,414,33500
dom,861121,63,63,62,63,15500
pia,861121,160,160,160,160,0
cud,861121,208,208,208,208,0
dgd,861121,39,39,37,39,78500
gme,861121,18,18,18,18,1100
gvm,861121,225,240,225,225,3600
bsg,861121,135,135,135,135,0
cho,861121,345,345,345,345,1500
ahy,861121,14,15,14,14,66000
cnw,861121,45,45,45,45,0
mld,861121,188,188,188,188,0
mag,861121,120,120,120,120,0
aqc,861121,78,78,78,78,500
ggr,861121,54,54,54,54,0
pch,861121,95,95,95,95,20000
ctr,861121,50,50,49,50,53700
lsc,861121,78,78,78,78,0
cbl,861121,13,13,13,13,0
bty,861121,124,124,124,124,14100
gmk,861121,131,131,130,131,169000
quf,861121,189,189,189,189,0
mim,861121,134,134,131,134,912200
chr,861121,147,147,147,147,0
nom,861121,267,271,267,267,5600
npc,861121,270,270,270,270,2000
ldw,861121,80,80,80,80,2900
aui,861121,180,180,180,180,0
gsm,861121,56,56,56,56,0
llr,861121,47,47,47,47,10200
bdg,861121,78,78,78,78,14100
whf,861121,84,84,84,84,0
seg,861121,32,32,32,32,5000
adh,861121,52,52,52,52,10600
wdi,861121,392,392,392,392,0
swh,861121,193,193,193,193,4000
cad,861121,119,119,119,119,0
len,861121,11,11,11,11,5300
dor,861121,28,28,28,28,0
hsh,861121,870,870,870,870,0
bqd,861121,157,157,157,157,8600
fri,861121,420,420,420,420,1000
erh,861121,27,27,27,27,0
cis,861121,31,34,31,31,27000
chp,861121,13,13,13,13,0
sft,861121,188,188,178,188,6000
osh,861121,89,89,81,89,349800
aca,861121,250,250,229,250,90700
agl,861121,274,274,270,274,6600
dmc,861121,340,340,330,340,1000
blo,861121,47,47,47,47,0
bgm,861121,11,11,10,11,260000
afu,861121,65,65,65,65,600
cpc,861121,46,46,46,46,13500
vrg,861121,14,14,14,14,18900
pmu,861121,235,235,235,235,2100
bkw,861121,1776,1776,1776,1776,6800
gmf,861121,240,240,240,240,12500
mtk,861121,67,67,63,67,65400
wsl,861121,198,198,198,198,1100
gnt,861121,115,118,95,115,1107200
tnt,861121,259,259,256,259,206300
tre,861121,43,43,43,43,0
nng,861121,61,61,61,61,2600
cml,861121,190,197,190,197,510900
ssn,861121,24,24,23,24,22500
zyl,861121,121,121,121,121,200
wjm,861121,301,301,301,301,0
gow,861121,294,294,294,294,0
pmt,861121,540,540,540,540,0
csd,861121,165,170,165,165,3500
ect,861121,72,72,72,72,0
pat,861121,147,147,147,147,0
khl,861121,102,102,102,102,4000
pmm,861121,347,347,347,347,200
hco,861121,245,245,241,245,29400
amc,861121,337,346,337,346,267200
aul,861121,16,16,16,16,250000
ssl,861121,48,48,48,48,0
kup,861121,113,113,113,113,0
cir,861121,47,47,47,47,1900
awi,861121,62,62,61,62,6800
dio,861121,127,127,119,127,1600
cfr,861121,14,14,14,14,58000
wpl,861121,130,130,126,130,2322000
bsc,861121,60,60,60,60,0
tal,861121,125,125,125,125,600
sov,861121,92,92,69,92,16000
mmf,861121,185,185,185,185,16600
cex,861121,219,219,199,219,277600
btg,861121,39,39,38,39,164200
