sol,861210,793,793,793,793,0
ans,861210,102,102,102,102,100
sid,861210,224,224,224,224,0
alx,861210,77,79,75,77,800
bid,861210,159,159,159,159,800
eml,861210,203,203,203,203,1000
pnx,861210,186,186,186,186,4800
ccl,861210,238,238,238,238,1700
rtm,861210,70,70,70,70,0
fcl,861210,26,26,26,26,22300
snm,861210,300,300,300,300,0
bsd,861210,38,38,38,38,52000
rgc,861210,460,460,460,460,62600
bds,861210,150,150,150,150,10000
mgg,861210,25,25,25,25,16000
crs,861210,14,14,14,14,8200
ihn,861210,52,52,52,52,0
gpt,861210,258,258,256,258,200
ror,861210,130,130,130,130,0
wrf,861210,127,127,127,127,35000
dtv,861210,361,361,361,361,200
ncl,861210,270,270,270,270,0
rbs,861210,198,198,198,198,246500
jen,861210,164,164,164,164,11100
cim,861210,46,46,46,46,0
fhf,861210,217,217,217,217,8000
wmt,861210,264,264,264,264,0
qrl,861210,164,164,162,164,1238900
shr,861210,205,205,205,205,0
arn,861210,417,417,417,417,11000
moh,861210,21,21,21,21,0
plp,861210,244,250,244,244,126700
cpv,861210,105,105,105,105,0
sks,861210,133,133,133,133,1000
kgm,861210,720,720,710,720,37100
age,861210,208,208,208,208,3000
emd,861210,250,250,250,250,0
fbg,861210,366,366,354,366,1605600
mlg,861210,117,117,117,117,12100
pay,861210,74,74,74,74,5000
nio,861210,208,208,208,208,0
vpe,861210,11,11,11,11,1300
qst,861210,70,70,70,70,0
wmc,861210,266,266,261,266,1063400
sed,861210,77,77,77,77,109200
mac,861210,146,150,146,146,2700
bil,861210,680,680,673,680,6600
lko,861210,43,43,43,43,0
xpta,861210,93400,93620,92450,92750,0
lyg,861210,23,23,21,23,49800
bpt,861210,64,64,64,64,1300
scm,861210,102,102,102,102,0
abc,861210,281,281,281,281,20700
fmh,861210,189,189,189,189,3000
jsm,861210,677,677,677,677,800
ahd,861210,142,142,142,142,400
nml,861210,320,320,320,320,400
sst,861210,240,240,240,240,0
aov,861210,96,96,96,96,127500
ash,861210,226,228,224,226,0
wwh,861210,154,154,154,154,2400
dat,861210,30,30,30,30,29000
nfm,861210,421,421,421,421,128100
pia,861210,170,170,170,170,0
gvm,861210,210,210,210,210,4200
cnw,861210,44,44,44,44,0
cho,861210,362,362,362,362,800
ahy,861210,15,15,15,15,6000
mag,861210,116,116,116,116,700
ggr,861210,48,48,45,48,8700
aqc,861210,78,78,78,78,0
ctr,861210,68,68,66,68,76000
lsc,861210,76,76,76,76,0
glp,861210,20,20,20,20,0
gal,861210,23,23,23,23,0
mim,861210,141,144,140,144,205400
nom,861210,309,309,309,309,3500
vpm,861210,110,110,110,110,0
aui,861210,186,186,186,186,0
wdi,861210,385,385,385,385,300
swh,861210,204,204,204,204,0
cad,861210,153,153,153,153,0
dor,861210,33,33,33,33,6000
fri,861210,400,400,400,400,0
cis,861210,35,35,35,35,52000
osh,861210,95,96,95,95,167700
dmc,861210,360,360,360,360,4300
eac,861210,222,222,222,222,0
bgm,861210,13,13,13,13,56000
cpc,861210,37,37,37,37,2700
bkw,861210,1850,1850,1850,1850,0
gmf,861210,261,261,261,261,5700
pmu,861210,230,230,230,230,0
mtk,861210,61,61,61,61,0
wsl,861210,206,206,206,206,93600
tnt,861210,258,265,254,258,69800
ssn,861210,23,24,23,23,408500
wjm,861210,301,301,301,301,0
gow,861210,282,282,282,282,0
csd,861210,170,170,170,170,300
khl,861210,100,100,100,100,40000
hco,861210,237,237,237,237,1600
amc,861210,355,355,351,355,217800
lmc,861210,33,33,33,33,0
run,861210,175,175,175,175,0
ssl,861210,48,48,48,48,0
kup,861210,92,92,92,92,200
tny,861210,65,65,65,65,0
tmm,861210,75,75,75,75,100
tal,861210,135,135,135,135,4000
btg,861210,40,40,40,40,45200
olh,861210,114,114,114,114,0
aum,861210,108,108,108,108,1100
era,861210,680,680,672,680,1600
cvn,861210,43,52,43,43,9300
jrv,861210,5,8,5,5,32200
nts,861210,24,24,24,24,0
ops,861210,323,323,323,323,300
mtb,861210,22,22,22,22,0
grv,861210,26,26,26,26,0
bhp,861210,608,612,599,610,2707400
bry,861210,278,280,278,278,258100
apg,861210,29,29,29,29,20900
pdp,861210,276,282,276,276,86300
alc,861210,130,130,130,130,5000
erg,861210,157,157,157,157,7100
dnr,861210,42,42,42,42,0
wdp,861210,51,51,51,51,95000
gsr,861210,218,218,218,218,0
isr,861210,68,68,68,68,40900
imm,861210,142,144,137,142,0
syl,861210,60,60,60,60,0
ate,861210,73,73,73,73,0
gep,861210,65,65,65,65,1000000
pgo,861210,345,345,340,345,24500
gcm,861210,4,4,4,4,1981000
tru,861210,911,911,911,911,0
krs,861210,175,175,174,175,16000
klz,861210,123,123,123,123,0
bog,861210,50,50,50,50,5200
