gns,861117,100,100,100,100,0
cvn,861117,52,60,52,52,39400
csr,861117,278,280,265,275,311700
bmp,861117,154,154,154,154,0
bhp,861117,575,575,565,567,418400
bic,861117,148,148,148,148,4900
pia,861117,160,160,160,160,0
erg,861117,145,149,145,145,5600
dgd,861117,41,41,37,39,50000
ptz,861117,132,132,132,132,5500
gpy,861117,81,81,79,81,13200
hrg,861117,413,420,413,413,2000
ihn,861117,52,52,52,52,0
wrf,861117,157,157,157,157,33000
mrc,861117,46,51,46,46,2400
lsc,861117,80,80,80,80,0
nph,861117,171,171,171,171,0
brd,861117,47,47,47,47,0
cbl,861117,15,15,15,15,0
syl,861117,60,60,60,60,0
mim,861117,134,136,118,128,765700
gwf,861117,19,19,19,19,0
cag,861117,69,72,65,69,204400
aad,861117,138,146,138,138,3900
tir,861117,49,53,49,49,7300
npc,861117,255,255,240,255,27700
tru,861117,956,956,956,956,0
seg,861117,44,44,44,44,12500
wdi,861117,425,425,425,425,400
cad,861117,119,119,119,119,12300
clr,861117,82,82,72,82,12500
fim,861117,16,16,16,16,0
sog,861117,146,146,146,146,6600
fri,861117,480,480,480,480,800
cis,861117,30,30,30,30,6600
ala,861117,189,203,186,189,2100
seq,861117,146,146,146,146,0
rai,861117,47,47,47,47,0
sft,861117,150,150,150,150,3800
nab,861117,378,378,365,369,406000
aca,861117,229,281,229,229,201900
rio,861117,629,638,623,629,484800
anz,861117,326,332,322,326,732900
ppt,861117,680,680,680,680,0
tgl,861117,9,9,9,9,7400
mrh,861117,58,58,58,58,42400
msf,861117,467,467,467,467,0
tre,861117,43,45,43,43,7000
cml,861117,193,193,183,183,265900
bor,861117,295,295,291,295,834900
sdy,861117,144,144,144,144,0
mac,861117,160,160,160,160,10000
vwd,861117,10,10,10,10,0
her,861117,60,62,58,60,119500
cng,861117,175,175,169,169,32700
bil,861117,655,655,645,645,141200
pmt,861117,540,540,540,540,0
pmm,861117,368,379,368,368,3900
bae,861117,48,48,48,48,0
xpta,861117,94340,94340,93260,93350,0
amc,861117,341,341,332,332,180600
drm,861117,78,80,78,78,3100
awi,861117,61,62,61,61,7200
cir,861117,50,50,50,50,0
scm,861117,91,91,91,91,0
agd,861117,56,56,56,56,0
cfr,861117,13,15,13,13,143800
wlh,861117,10146,10146,10146,10146,1200
mxt,861117,17,17,17,17,2200
bsc,861117,64,64,64,64,0
fmh,861117,207,207,207,207,0
