Kind,Name,CountDeclClassMethod,MaxInheritanceTree,CountClassDerived,PercentLackOfCohesion,CountClassCoupled,CountDeclInstanceVariable,CountLineCode,CountDeclFile,CountDeclFunction,RatioCommentToCode,CountDeclMethodAll,SumCyclomatic
TypeVariable,rx.Observable.zip.T2,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T2,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T2,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T2,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T3,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.zip.T3,0,0,0,0,0,0,0,,,0,0,0
Public Generic Interface,rx.Observer,0,0,36,0,1,0,5,,,8,3,3
TypeVariable,rx.Observer.T,0,0,0,0,0,0,0,,,0,0,0
Public Abstract Method,rx.Observer.onCompleted,,,,,,,1,,,5,,
Public Abstract Method,rx.Observer.onError,,,,,,,1,,,7,,
Public Abstract Method,rx.Observer.onNext,,,,,,,1,,,13,,
Public Interface,rx.Subscription,0,0,35,0,0,0,3,,,6.67,1,1
Public Abstract Method,rx.Subscription.unsubscribe,,,,,,,1,,,5,,
Package,rx.concurrency,0,,,,,0,0,1,,0,,0
Package,rx.examples,0,,,,,0,0,0,,0,,0
Package,rx.examples.java,2,,,,,0,16,1,,0,,3
Public Class,rx.examples.java.RxExamples,2,0,0,0,2,0,13,,,0,14,2
Public Static Method,rx.examples.java.RxExamples.hello,,,,,,,8,,,0,,
Class,rx.examples.java.RxExamples.hello.(Anon_1),0,0,0,0,4,0,5,,,0,13,1
Public Method,rx.examples.java.RxExamples.hello.(Anon_1).call,,,,,,,3,,,0,,
Public Static Method,rx.examples.java.RxExamples.main,,,,,,,3,,,0,,
Package,rx.lang,0,,,,,0,0,0,,0,,0
Package,rx.lang.clojure,0,,,,,2,89,1,,0.26,,28
Public Class,rx.lang.clojure.ClojureAdaptor,0,0,0,0,3,0,78,,,0.29,14,23
Public Static Class,rx.lang.clojure.ClojureAdaptor.UnitTest,0,0,0,100,5,2,24,,,0.33,15,3
Private Interface,rx.lang.clojure.ClojureAdaptor.UnitTest.ScriptAssertion,0,0,0,0,1,0,4,,,0,2,2
Public Abstract Method,rx.lang.clojure.ClojureAdaptor.UnitTest.ScriptAssertion.error,,,,,,,1,,,0,,
Public Abstract Method,rx.lang.clojure.ClojureAdaptor.UnitTest.ScriptAssertion.received,,,,,,,1,,,0,,
Public Method,rx.lang.clojure.ClojureAdaptor.UnitTest.before,,,,,,,3,,,0,,
Private Method,rx.lang.clojure.ClojureAdaptor.UnitTest.runClojureScript,,,,,,,6,,,0,,
Public Method,rx.lang.clojure.ClojureAdaptor.UnitTest.testTake,,,,,,,3,,,0,,
Public Method,rx.lang.clojure.ClojureAdaptor.call,,,,,,,47,,,0,,
Public Method,rx.lang.clojure.ClojureAdaptor.getFunctionClass,,,,,,,3,,,0,,
Package,rx.lang.groovy,0,,,,,4,203,1,,0.12,,30
Public Class,rx.lang.groovy.GroovyAdaptor,0,0,0,0,2,0,185,,,0.14,14,2
Public Static Class,rx.lang.groovy.GroovyAdaptor.UnitTest,0,0,0,52,12,2,176,,,0.06,32,20
Private Interface,rx.lang.groovy.GroovyAdaptor.UnitTest.ScriptAssertion,0,0,0,0,1,0,4,,,0,2,2
Public Abstract Method,rx.lang.groovy.GroovyAdaptor.UnitTest.ScriptAssertion.error,,,,,,,1,,,0,,
Public Abstract Method,rx.lang.groovy.GroovyAdaptor.UnitTest.ScriptAssertion.received,,,,,,,1,,,0,,
Private Static Class,rx.lang.groovy.GroovyAdaptor.UnitTest.TestFactory,0,0,0,50,3,1,11,,,0,14,2
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.TestFactory.getNumbers,,,,,,,3,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.TestFactory.getObservable,,,,,,,3,,,0,,
Private Static Class,rx.lang.groovy.GroovyAdaptor.UnitTest.TestObservable,0,1,0,0,2,1,19,,,0.11,110,2
Public Constructor,rx.lang.groovy.GroovyAdaptor.UnitTest.TestObservable.TestObservable,,,,,,,9,,,0.11,,
Class,rx.lang.groovy.GroovyAdaptor.UnitTest.TestObservable.TestObservable.(Anon_1),0,0,0,0,3,0,5,,,0.2,13,1
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.TestObservable.TestObservable.(Anon_1).call,,,,,,,3,,,0.33,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.TestObservable.subscribe,,,,,,,8,,,0.13,,
Class,rx.lang.groovy.GroovyAdaptor.UnitTest.TestObservable.subscribe.(Anon_2),0,0,0,0,0,0,3,,,0.33,13,1
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.TestObservable.subscribe.(Anon_2).unsubscribe,,,,,,,2,,,0.5,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.before,,,,,,,3,,,0,,
Private Method,rx.lang.groovy.GroovyAdaptor.UnitTest.runGroovyScript,,,,,,,10,,,0.1,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testCreateViaGroovy,,,,,,,4,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testFilterViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testLast,,,,,,,5,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testMap,,,,,,,5,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testMapViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testMaterializeViaGroovy,,,,,,,5,,,0.2,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testMergeDelayErrorViaGroovy,,,,,,,11,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testMergeViaGroovy,,,,,,,11,,,0.45,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testScriptWithMaterialize,,,,,,,5,,,0.2,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testScriptWithMerge,,,,,,,6,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testScriptWithOnNext,,,,,,,5,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testSkipTakeViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testSkipViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testTakeViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testToSortedList,,,,,,,4,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testToSortedListStatic,,,,,,,4,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testToSortedListWithFunction,,,,,,,4,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.UnitTest.testToSortedListWithFunctionStatic,,,,,,,4,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.call,,,,,,,3,,,0,,
Public Method,rx.lang.groovy.GroovyAdaptor.getFunctionClass,,,,,,,3,,,0,,
Package,rx.lang.jruby,0,,,,,4,165,1,,0.12,,25
Public Class,rx.lang.jruby.JRubyAdaptor,0,0,0,0,2,0,146,,,0.14,14,3
Public Static Class,rx.lang.jruby.JRubyAdaptor.UnitTest,0,0,0,53,9,2,130,,,0.04,26,14
Private Interface,rx.lang.jruby.JRubyAdaptor.UnitTest.ScriptAssertion,0,0,0,0,1,0,4,,,0,2,2
Public Abstract Method,rx.lang.jruby.JRubyAdaptor.UnitTest.ScriptAssertion.error,,,,,,,1,,,0,,
Public Abstract Method,rx.lang.jruby.JRubyAdaptor.UnitTest.ScriptAssertion.received,,,,,,,1,,,0,,
Public Static Class,rx.lang.jruby.JRubyAdaptor.UnitTest.TestFactory,0,0,0,50,2,1,9,,,0,14,2
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.TestFactory.getNumbers,,,,,,,3,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.TestFactory.getObservable,,,,,,,3,,,0,,
Private Static Class,rx.lang.jruby.JRubyAdaptor.UnitTest.TestObservable,0,1,0,0,2,1,19,,,0.11,110,2
Public Constructor,rx.lang.jruby.JRubyAdaptor.UnitTest.TestObservable.TestObservable,,,,,,,9,,,0.11,,
Class,rx.lang.jruby.JRubyAdaptor.UnitTest.TestObservable.TestObservable.(Anon_1),0,0,0,0,3,0,5,,,0.2,13,1
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.TestObservable.TestObservable.(Anon_1).call,,,,,,,3,,,0.33,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.TestObservable.subscribe,,,,,,,8,,,0.13,,
Class,rx.lang.jruby.JRubyAdaptor.UnitTest.TestObservable.subscribe.(Anon_2),0,0,0,0,0,0,3,,,0.33,13,1
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.TestObservable.subscribe.(Anon_2).unsubscribe,,,,,,,2,,,0.5,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.before,,,,,,,3,,,0,,
Private Method,rx.lang.jruby.JRubyAdaptor.UnitTest.runGroovyScript,,,,,,,12,,,0.08,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testCreateViaGroovy,,,,,,,4,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testFilterViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testLast,,,,,,,5,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testMap,,,,,,,5,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testMaterializeViaGroovy,,,,,,,5,,,0.2,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testScriptWithMaterialize,,,,,,,5,,,0.2,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testScriptWithMerge,,,,,,,6,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testScriptWithOnNext,,,,,,,5,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testSkipTakeViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testSkipViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testTakeViaGroovy,,,,,,,6,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.UnitTest.testToSortedList,,,,,,,4,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.call,,,,,,,9,,,0,,
Public Method,rx.lang.jruby.JRubyAdaptor.getFunctionClass,,,,,,,3,,,0,,
Package,rx.operators,36,,,,,137,3825,20,,0.28,,536
Public Class,rx.operators.OperationCombineLatest,3,0,0,0,8,0,488,,,0.32,15,3
Private Static Generic Class,rx.operators.OperationCombineLatest.Aggregator,0,0,0,57,14,6,84,,,0.8,19,20
Public Constructor,rx.operators.OperationCombineLatest.Aggregator.Aggregator,,,,,,,3,,,0,,
TypeVariable,rx.operators.OperationCombineLatest.Aggregator.R,0,0,0,0,0,0,0,,,0,0,0
Method,rx.operators.OperationCombineLatest.Aggregator.addObserver,,,,,,,3,,,2,,
Public Method,rx.operators.OperationCombineLatest.Aggregator.call,,,,,,,15,,,0.07,,
Class,rx.operators.OperationCombineLatest.Aggregator.call.(Anon_1),0,0,0,0,2,0,5,,,0,13,1
Public Method,rx.operators.OperationCombineLatest.Aggregator.call.(Anon_1).unsubscribe,,,,,,,3,,,0,,
Method,rx.operators.OperationCombineLatest.Aggregator.complete,,,,,,,9,,,1,,
Method,rx.operators.OperationCombineLatest.Aggregator.error,,,,,,,5,,,1.4,,
Method,rx.operators.OperationCombineLatest.Aggregator.next,,,,,,,33,,,0.67,,
Private Method,rx.operators.OperationCombineLatest.Aggregator.stop,,,,,,,8,,,0.25,,
Private Static Generic Class,rx.operators.OperationCombineLatest.CombineObserver,0,0,0,53,6,3,26,,,0,17,6
Public Constructor,rx.operators.OperationCombineLatest.CombineObserver.CombineObserver,,,,,,,4,,,0,,
TypeVariable,rx.operators.OperationCombineLatest.CombineObserver.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.CombineObserver.T,0,0,0,0,0,0,0,,,0,0,0
Public Method,rx.operators.OperationCombineLatest.CombineObserver.onCompleted,,,,,,,3,,,0,,
Public Method,rx.operators.OperationCombineLatest.CombineObserver.onError,,,,,,,3,,,0,,
Public Method,rx.operators.OperationCombineLatest.CombineObserver.onNext,,,,,,,3,,,0,,
Public Method,rx.operators.OperationCombineLatest.CombineObserver.startWatching,,,,,,,6,,,0,,
Public Static Class,rx.operators.OperationCombineLatest.UnitTest,1,0,0,0,16,0,353,,,0.2,30,20
Private Static Class,rx.operators.OperationCombineLatest.UnitTest.TestObservable,0,1,0,0,3,1,7,,,0.14,109,1
Public Method,rx.operators.OperationCombineLatest.UnitTest.TestObservable.subscribe,,,,,,,4,,,0.25,,
Private Method,rx.operators.OperationCombineLatest.UnitTest.getConcat3StringsCombineLatestFunction,,,,,,,18,,,0,,
Class,rx.operators.OperationCombineLatest.UnitTest.getConcat3StringsCombineLatestFunction.(Anon_2),0,0,0,0,2,0,14,,,0,13,4
Public Method,rx.operators.OperationCombineLatest.UnitTest.getConcat3StringsCombineLatestFunction.(Anon_2).call,,,,,,,12,,,0,,
Private Method,rx.operators.OperationCombineLatest.UnitTest.getConcatCombineLatestFunction,,,,,,,16,,,0,,
Class,rx.operators.OperationCombineLatest.UnitTest.getConcatCombineLatestFunction.(Anon_3),0,0,0,0,5,0,12,,,0,13,3
Public Method,rx.operators.OperationCombineLatest.UnitTest.getConcatCombineLatestFunction.(Anon_3).call,,,,,,,10,,,0,,
Private Method,rx.operators.OperationCombineLatest.UnitTest.getConcatStringIntegerCombineLatestFunction,,,,,,,9,,,0,,
Class,rx.operators.OperationCombineLatest.UnitTest.getConcatStringIntegerCombineLatestFunction.(Anon_4),0,0,0,0,4,0,5,,,0,13,1
Public Method,rx.operators.OperationCombineLatest.UnitTest.getConcatStringIntegerCombineLatestFunction.(Anon_4).call,,,,,,,3,,,0,,
Private Method,rx.operators.OperationCombineLatest.UnitTest.getConcatStringIntegerIntArrayCombineLatestFunction,,,,,,,9,,,0,,
Class,rx.operators.OperationCombineLatest.UnitTest.getConcatStringIntegerIntArrayCombineLatestFunction.(Anon_5),0,0,0,0,4,0,5,,,0,13,1
Public Method,rx.operators.OperationCombineLatest.UnitTest.getConcatStringIntegerIntArrayCombineLatestFunction.(Anon_5).call,,,,,,,3,,,0,,
Private Static Method,rx.operators.OperationCombineLatest.UnitTest.getStringValue,,,,,,,11,,,0,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testAggregate3Types,,,,,,,18,,,0.28,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testAggregateMultipleTypes,,,,,,,21,,,0.24,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testAggregatorDifferentSizedResultsWithOnComplete,,,,,,,21,,,0.24,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testAggregatorEarlyCompletion,,,,,,,21,,,0.29,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testAggregatorError,,,,,,,21,,,0.29,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testAggregatorSimple,,,,,,,25,,,0.32,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testAggregatorUnsubscribe,,,,,,,21,,,0.29,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testAggregatorsWithDifferentSizesAndTiming,,,,,,,30,,,0.17,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testCombineLatest2Types,,,,,,,11,,,0.09,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testCombineLatest3TypesA,,,,,,,9,,,0.11,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testCombineLatest3TypesB,,,,,,,10,,,0.1,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testCombineLatestDifferentLengthObservableSequences1,,,,,,,24,,,0.21,,
Public Method,rx.operators.OperationCombineLatest.UnitTest.testCombineLatestDifferentLengthObservableSequences2,,,,,,,23,,,0.22,,
Public Static Generic Method,rx.operators.OperationCombineLatest.combineLatest,,,,,,,6,,,0,,
Public Static Generic Method,rx.operators.OperationCombineLatest.combineLatest,,,,,,,7,,,0,,
Public Static Generic Method,rx.operators.OperationCombineLatest.combineLatest,,,,,,,8,,,0,,
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T0,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T1,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T1,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T1,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T2,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T2,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationCombineLatest.combineLatest.T3,0,0,0,0,0,0,0,,,0,0,0
Public Class,rx.operators.OperationConcat,3,0,0,0,7,0,211,,,0.14,15,3
Private Static Generic Class,rx.operators.OperationConcat.Concat,0,0,0,41,5,6,44,,,0,14,2
Class,rx.operators.OperationConcat.Concat.(Anon_3),0,0,0,0,2,0,6,,,0,13,2
Public Method,rx.operators.OperationConcat.Concat.(Anon_3).unsubscribe,,,,,,,4,,,0,,
Constructor,rx.operators.OperationConcat.Concat.Concat,,,,,,,4,,,0,,
Private Class,rx.operators.OperationConcat.Concat.ConcatObserver,0,0,0,0,4,1,22,,,0,16,5
Constructor,rx.operators.OperationConcat.Concat.ConcatObserver.ConcatObserver,,,,,,,3,,,0,,
Public Method,rx.operators.OperationConcat.Concat.ConcatObserver.onCompleted,,,,,,,8,,,0,,
Public Method,rx.operators.OperationConcat.Concat.ConcatObserver.onError,,,,,,,3,,,0,,
Public Method,rx.operators.OperationConcat.Concat.ConcatObserver.onNext,,,,,,,3,,,0,,
TypeVariable,rx.operators.OperationConcat.Concat.T,0,0,0,0,0,0,0,,,0,0,0
Public Method,rx.operators.OperationConcat.Concat.call,,,,,,,4,,,0,,
Public Static Class,rx.operators.OperationConcat.UnitTest,0,0,0,33,14,2,142,,,0.06,17,6
Class,rx.operators.OperationConcat.UnitTest.(Anon_4),0,0,0,0,4,0,12,,,0.08,15,3
Public Method,rx.operators.OperationConcat.UnitTest.(Anon_4).onCompleted,,,,,,,2,,,0,,
Public Method,rx.operators.OperationConcat.UnitTest.(Anon_4).onError,,,,,,,2,,,0.5,,
Public Method,rx.operators.OperationConcat.UnitTest.(Anon_4).onNext,,,,,,,4,,,0,,
Private Static Class,rx.operators.OperationConcat.UnitTest.TestObservable,0,1,0,64,6,7,43,,,0.07,110,2
Class,rx.operators.OperationConcat.UnitTest.TestObservable.(Anon_7),0,0,0,0,2,0,5,,,0.2,13,1
Public Method,rx.operators.OperationConcat.UnitTest.TestObservable.(Anon_7).unsubscribe,,,,,,,3,,,0.33,,
Public Constructor,rx.operators.OperationConcat.UnitTest.TestObservable.TestObservable,,,,,,,5,,,0,,
Public Method,rx.operators.OperationConcat.UnitTest.TestObservable.subscribe,,,,,,,24,,,0.08,,
Class,rx.operators.OperationConcat.UnitTest.TestObservable.subscribe.(Anon_8),0,0,0,0,6,0,19,,,0.11,13,6
Public Method,rx.operators.OperationConcat.UnitTest.TestObservable.subscribe.(Anon_8).run,,,,,,,17,,,0.12,,
Public Method,rx.operators.OperationConcat.UnitTest.before,,,,,,,3,,,0,,
Public Method,rx.operators.OperationConcat.UnitTest.testConcat,,,,,,,10,,,0,,
Public Method,rx.operators.OperationConcat.UnitTest.testConcatUnsubscribe,,,,,,,27,,,0.07,,
Public Method,rx.operators.OperationConcat.UnitTest.testConcatWithList,,,,,,,13,,,0,,
Public Method,rx.operators.OperationConcat.UnitTest.testMergeObservableOfObservables,,,,,,,23,,,0.09,,
Class,rx.operators.OperationConcat.UnitTest.testMergeObservableOfObservables.(Anon_5),0,0,0,0,4,0,12,,,0.17,13,1
Public Method,rx.operators.OperationConcat.UnitTest.testMergeObservableOfObservables.(Anon_5).call,,,,,,,10,,,0.2,,
Class,rx.operators.OperationConcat.UnitTest.testMergeObservableOfObservables.(Anon_5).call.(Anon_6),0,0,0,0,1,0,4,,,0.25,13,1
Public Method,rx.operators.OperationConcat.UnitTest.testMergeObservableOfObservables.(Anon_5).call.(Anon_6).unsubscribe,,,,,,,2,,,0.5,,
Public Static Generic Method,rx.operators.OperationConcat.concat,,,,,,,10,,,0,,
Public Static Generic Method,rx.operators.OperationConcat.concat,,,,,,,8,,,0.88,,
Public Static Generic Method,rx.operators.OperationConcat.concat,,,,,,,5,,,0,,
Class,rx.operators.OperationConcat.concat.(Anon_1),0,0,0,0,5,0,5,,,0,13,1
Public Method,rx.operators.OperationConcat.concat.(Anon_1).call,,,,,,,3,,,0,,
Class,rx.operators.OperationConcat.concat.(Anon_2),0,0,0,0,3,0,5,,,0,13,1
Public Method,rx.operators.OperationConcat.concat.(Anon_2).call,,,,,,,3,,,0,,
TypeVariable,rx.operators.OperationConcat.concat.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationConcat.concat.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationConcat.concat.T,0,0,0,0,0,0,0,,,0,0,0
Public Generic Class,rx.operators.OperationFilter,1,0,0,0,3,0,56,,,0.29,13,1
Private Static Generic Class,rx.operators.OperationFilter.Filter,0,0,0,33,4,3,28,,,0.04,14,2
Public Constructor,rx.operators.OperationFilter.Filter.Filter,,,,,,,4,,,0,,
TypeVariable,rx.operators.OperationFilter.Filter.T,0,0,0,0,0,0,0,,,0,0,0
Public Method,rx.operators.OperationFilter.Filter.call,,,,,,,20,,,0.05,,
Class,rx.operators.OperationFilter.Filter.call.(Anon_1),0,0,0,0,4,0,17,,,0.06,15,5
Public Method,rx.operators.OperationFilter.Filter.call.(Anon_1).onCompleted,,,,,,,3,,,0,,
Public Method,rx.operators.OperationFilter.Filter.call.(Anon_1).onError,,,,,,,3,,,0,,
Public Method,rx.operators.OperationFilter.Filter.call.(Anon_1).onNext,,,,,,,10,,,0.1,,
TypeVariable,rx.operators.OperationFilter.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Class,rx.operators.OperationFilter.UnitTest,0,0,0,0,6,0,23,,,0,13,1
Public Method,rx.operators.OperationFilter.UnitTest.testFilter,,,,,,,20,,,0,,
Class,rx.operators.OperationFilter.UnitTest.testFilter.(Anon_2),0,0,0,0,3,0,8,,,0,13,2
Public Method,rx.operators.OperationFilter.UnitTest.testFilter.(Anon_2).call,,,,,,,6,,,0,,
Public Static Generic Method,rx.operators.OperationFilter.filter,,,,,,,3,,,0,,
TypeVariable,rx.operators.OperationFilter.filter.T,0,0,0,0,0,0,0,,,0,0,0
Public Generic Class,rx.operators.OperationLast,1,0,0,0,3,0,44,,,0.45,13,1
Private Static Generic Class,rx.operators.OperationLast.Last,0,0,0,66,5,3,24,,,0,14,2
Public Constructor,rx.operators.OperationLast.Last.Last,,,,,,,3,,,0,,
TypeVariable,rx.operators.OperationLast.Last.T,0,0,0,0,0,0,0,,,0,0,0
Public Method,rx.operators.OperationLast.Last.call,,,,,,,17,,,0,,
Class,rx.operators.OperationLast.Last.call.(Anon_1),0,0,0,0,4,0,14,,,0,15,4
Public Method,rx.operators.OperationLast.Last.call.(Anon_1).onCompleted,,,,,,,6,,,0,,
Public Method,rx.operators.OperationLast.Last.call.(Anon_1).onError,,,,,,,3,,,0,,
Public Method,rx.operators.OperationLast.Last.call.(Anon_1).onNext,,,,,,,4,,,0,,
TypeVariable,rx.operators.OperationLast.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Class,rx.operators.OperationLast.UnitTest,0,0,0,0,6,0,15,,,0,13,1
Public Method,rx.operators.OperationLast.UnitTest.testLast,,,,,,,12,,,0,,
Public Static Generic Method,rx.operators.OperationLast.last,,,,,,,3,,,0,,
TypeVariable,rx.operators.OperationLast.last.T,0,0,0,0,0,0,0,,,0,0,0
Public Class,rx.operators.OperationMap,2,0,0,0,4,0,136,,,0.48,14,2
Private Static Generic Class,rx.operators.OperationMap.MapObservable,0,0,0,0,4,2,10,,,0,14,2
Public Constructor,rx.operators.OperationMap.MapObservable.MapObservable,,,,,,,4,,,0,,
TypeVariable,rx.operators.OperationMap.MapObservable.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationMap.MapObservable.T,0,0,0,0,0,0,0,,,0,0,0
Public Method,rx.operators.OperationMap.MapObservable.call,,,,,,,3,,,0,,
Private Static Generic Class,rx.operators.OperationMap.MapObserver,0,0,0,25,2,2,20,,,0,16,5
Public Constructor,rx.operators.OperationMap.MapObserver.MapObserver,,,,,,,4,,,0,,
TypeVariable,rx.operators.OperationMap.MapObserver.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.operators.OperationMap.MapObserver.T,0,0,0,0,0,0,0,,,0,0,0
Public Method,rx.operators.OperationMap.MapObserver.onCompleted,,,,,,,3,,,0,,
Public Method,rx.operators.OperationMap.MapObserver.onError,,,,,,,3,,,0,,
Public Method,rx.operators.OperationMap.MapObserver.onNext,,,,,,,7,,,0,,
Public Static Class,rx.operators.OperationMap.UnitTest,0,0,0,40,9,1,96,,,0.21,17,5
Public Method,rx.operators.OperationMap.UnitTest.before,,,,,,,3,,,0,,
Private Method,rx.operators.OperationMap.UnitTest.getMap,,,,,,,6,,,0,,
Public Method,rx.operators.OperationMap.UnitTest.testMap,,,,,,,17,,,0,,
Class,rx.operators.OperationMap.UnitTest.testMap.(Anon_1),0,0,0,0,3,0,5,,,0,13,1
Public Method,rx.operators.OperationMap.UnitTest.testMap.(Anon_1).call,,,,,,,3,,,0,,
Public Method,rx.operators.OperationMap.UnitTest.testMapMany,,,,,,,32,,,0.13,,
Class,rx.operators.OperationMap.UnitTest.testMapMany.(Anon_2),0,0,0,0,7,0,21,,,0.1,13,2
Public Method,rx.operators.OperationMap.UnitTest.testMapMany.(Anon_2).call,,,,,,,18,,,0.11,,
Class,rx.operators.OperationMap.UnitTest.testMapMany.(Anon_2).call.(Anon_3),0,0,0,0,3,0,5,,,0,13,1
Public Method,rx.operators.OperationMap.UnitTest.testMapMany.(Anon_2).call.(Anon_3).call,,,,,,,3,,,0,,
Public Method,rx.operators.OperationMap.UnitTest.testMapMany2,,,,,,,30,,,0,,
Class,rx.operators.OperationMap.UnitTest.testMapMany2.(Anon_4),0,0,0,0,3,0,10,,,0,13,1
Public Method,rx.operators.OperationMap.UnitTest.testMapMany2.(Anon_4).call,,,,,,,8,,,0,,
Class,rx.operators.OperationMap.UnitTest.testMapMany2.(Anon_4).call.(Anon_5),0,0,0,0,3,0,5,,,0,13,1
