Kind,Name,CountDeclClassMethod,MaxInheritanceTree,CountClassDerived,PercentLackOfCohesion,CountClassCoupled,CountDeclInstanceVariable,CountLineCode,CountDeclFile,CountDeclFunction,RatioCommentToCode,CountDeclMethodAll,SumCyclomatic
Public Method,rx.Observable.ThrowObservable.ThrowObservable.(Anon_9).call,,,,,,,4,,,1.75,,
Public Static Class,rx.Observable.UnitTest,0,0,0,50,5,1,53,,,0.04,16,4
Public Method,rx.Observable.UnitTest.before,,,,,,,3,,,0,,
Public Method,rx.Observable.UnitTest.testCreate,,,,,,,20,,,0,,
Class,rx.Observable.UnitTest.testCreate.(Anon_30),0,0,0,0,4,0,9,,,0,13,1
Public Method,rx.Observable.UnitTest.testCreate.(Anon_30).call,,,,,,,7,,,0,,
Public Method,rx.Observable.UnitTest.testReduce,,,,,,,11,,,0.09,,
Class,rx.Observable.UnitTest.testReduce.(Anon_31),0,0,0,0,2,0,5,,,0,13,1
Public Method,rx.Observable.UnitTest.testReduce.(Anon_31).call,,,,,,,3,,,0,,
Public Method,rx.Observable.UnitTest.testReduceWithInitialValue,,,,,,,11,,,0.09,,
Class,rx.Observable.UnitTest.testReduceWithInitialValue.(Anon_32),0,0,0,0,2,0,5,,,0,13,1
Public Method,rx.Observable.UnitTest.testReduceWithInitialValue.(Anon_32).call,,,,,,,3,,,0,,
Private Static Generic Method,rx.Observable._create,,,,,,,3,,,0,,
TypeVariable,rx.Observable._create.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.concat,,,,,,,3,,,3.33,,
TypeVariable,rx.Observable.concat.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.create,,,,,,,3,,,12,,
Public Static Generic Method,rx.Observable.create,,,,,,,10,,,1.9,,
Class,rx.Observable.create.(Anon_10),0,0,0,0,5,0,5,,,0,13,1
Public Method,rx.Observable.create.(Anon_10).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.create.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.create.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Method,rx.Observable.createSubscription,,,,,,,8,,,0.88,,
Public Static Method,rx.Observable.createSubscription,,,,,,,9,,,0.78,,
Class,rx.Observable.createSubscription.(Anon_14),0,0,0,0,3,0,5,,,0,13,1
Public Method,rx.Observable.createSubscription.(Anon_14).unsubscribe,,,,,,,3,,,0,,
Class,rx.Observable.createSubscription.(Anon_15),0,0,0,0,3,0,5,,,0,13,1
Public Method,rx.Observable.createSubscription.(Anon_15).unsubscribe,,,,,,,3,,,0,,
Public Static Generic Method,rx.Observable.empty,,,,,,,3,,,3.67,,
TypeVariable,rx.Observable.empty.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.error,,,,,,,3,,,4.67,,
TypeVariable,rx.Observable.error.T,0,0,0,0,0,0,0,,,0,0,0
Private Method,rx.Observable.executeCallback,,,,,,,3,,,3,,
Public Static Generic Method,rx.Observable.filter,,,,,,,3,,,4.33,,
Public Static Generic Method,rx.Observable.filter,,,,,,,10,,,1.3,,
Public Method,rx.Observable.filter,,,,,,,3,,,4,,
Public Method,rx.Observable.filter,,,,,,,9,,,1.33,,
Class,rx.Observable.filter.(Anon_11),0,0,0,0,4,0,5,,,0,13,1
Public Method,rx.Observable.filter.(Anon_11).call,,,,,,,3,,,0,,
Class,rx.Observable.filter.(Anon_25),0,0,0,0,3,0,4,,,0,13,1
Public Method,rx.Observable.filter.(Anon_25).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.filter.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.filter.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.from,,,,,,,3,,,3.67,,
Public Static Generic Method,rx.Observable.from,,,,,,,3,,,3.67,,
TypeVariable,rx.Observable.from.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.from.T,0,0,0,0,0,0,0,,,0,0,0
Private Static Method,rx.Observable.handleError,,,,,,,2,,,3,,
Public Static Generic Method,rx.Observable.just,,,,,,,5,,,4.2,,
TypeVariable,rx.Observable.just.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.last,,,,,,,3,,,4.67,,
Public Method,rx.Observable.last,,,,,,,3,,,3,,
TypeVariable,rx.Observable.last.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.map,,,,,,,3,,,6,,
Public Static Generic Method,rx.Observable.map,,,,,,,11,,,1.64,,
Public Generic Method,rx.Observable.map,,,,,,,3,,,4,,
Public Generic Method,rx.Observable.map,,,,,,,10,,,1.2,,
Class,rx.Observable.map.(Anon_12),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.map.(Anon_12).call,,,,,,,3,,,0,,
Class,rx.Observable.map.(Anon_26),0,0,0,0,3,0,5,,,0,13,1
Public Method,rx.Observable.map.(Anon_26).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.map.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.map.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.map.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.map.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.map.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.map.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.mapMany,,,,,,,3,,,7.33,,
Public Static Generic Method,rx.Observable.mapMany,,,,,,,11,,,2,,
Public Generic Method,rx.Observable.mapMany,,,,,,,3,,,5,,
Public Generic Method,rx.Observable.mapMany,,,,,,,10,,,1.5,,
Class,rx.Observable.mapMany.(Anon_13),0,0,0,0,4,0,6,,,0,13,1
Public Method,rx.Observable.mapMany.(Anon_13).call,,,,,,,3,,,0,,
Class,rx.Observable.mapMany.(Anon_27),0,0,0,0,3,0,5,,,0,13,1
Public Method,rx.Observable.mapMany.(Anon_27).call,,,,,,,3,,,0,,
TypeVariable,rx.Observable.mapMany.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.mapMany.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.mapMany.R,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.mapMany.R,0,0,0,0,0,0,0,,,0,0,0
