Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,SumCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,CountDeclMethodAll,RatioCommentToCode,CountDeclClassMethod,CountLineCode,CountDeclFile,CountDeclFunction
File,OperationDebounceTest.java,,,2,13,,,,0.28,0,120,,13
File,OperationDefaultIfEmpty.java,,,3,8,,,,0.67,1,49,,6
File,OperationDefaultIfEmptyTest.java,,,0,2,,,,0.41,0,37,,2
File,OperationDefer.java,,,0,2,,,,1.47,1,17,,2
File,OperationDeferTest.java,,,0,1,,,,0.44,0,34,,1
File,OperationDematerialize.java,,,1,9,,,,0.76,1,42,,6
File,OperationDematerializeTest.java,,,0,3,,,,0.33,0,46,,3
File,OperationDistinct.java,,,7,21,,,,0.49,4,110,,17
File,OperationDistinctTest.java,,,4,13,,,,0.11,0,151,,12
File,OperationDistinctUntilChanged.java,,,5,16,,,,0.71,4,77,,11
File,OperationDistinctUntilChangedTest.java,,,4,13,,,,0.1,0,157,,12
File,OperationElementAt.java,,,5,13,,,,0.86,2,66,,7
File,OperationElementAtTest.java,,,0,9,,,,0.16,0,96,,6
File,OperationFilter.java,,,2,8,,,,0.53,1,40,,6
File,OperationFilterTest.java,,,0,2,,,,0.52,0,29,,2
File,OperationFinally.java,,,3,8,,,,0.77,1,53,,8
File,OperationFinallyTest.java,,,2,4,,,,0.53,0,30,,4
File,OperationFirstOrDefault.java,,,4,11,,,,0.68,2,63,,8
File,OperationFirstOrDefaultTest.java,,,1,6,,,,0.25,0,61,,6
File,OperationGroupBy.java,,,9,30,,,,0.35,4,152,,23
File,OperationGroupByTest.java,,,3,34,,,,0.12,1,252,,31
File,OperationInterval.java,,,4,7,,,,0.52,2,50,,7
File,OperationIntervalTest.java,,,3,5,,,,0.12,0,133,,5
File,OperationLast.java,,,2,6,,,,0.89,1,38,,5
File,OperationLastTest.java,,,0,4,,,,0.58,0,26,,4
File,OperationMap.java,,,3,10,,,,1.32,3,56,,10
File,OperationMapTest.java,,,2,31,,,,0.16,1,246,,28
File,OperationMaterialize.java,,,1,6,,,,0.89,1,36,,6
File,OperationMaterializeTest.java,,,5,15,,,,0.14,0,116,,10
File,OperationMerge.java,,,9,34,,,,0.61,3,147,,18
File,OperationMergeDelayError.java,,,12,43,,,,0.61,3,183,,21
File,OperationMergeDelayErrorTest.java,,,9,44,,,,0.09,0,382,,35
File,OperationMergeTest.java,,,7,39,,,,0.16,0,326,,32
File,OperationMostRecent.java,,,4,14,,,,0.3,1,70,,13
File,OperationMostRecentTest.java,,,0,2,,,,0.37,0,41,,2
File,OperationMulticast.java,,,4,10,,,,0.26,1,58,,8
File,OperationMulticastTest.java,,,0,3,,,,0.22,0,69,,3
File,OperationNext.java,,,7,23,,,,0.28,1,112,,11
File,OperationNextTest.java,,,0,30,,,,0.15,0,218,,15
File,OperationObserveFromAndroidComponent.java,,,7,34,,,,0.06,2,241,,29
File,OperationObserveOn.java,,,2,4,,,,0.68,1,31,,3
File,OperationObserveOnTest.java,,,0,4,,,,0.35,0,51,,3
File,OperationOnErrorResumeNextViaFunction.java,,,2,11,,,,0.91,1,55,,7
File,OperationOnErrorResumeNextViaFunctionTest.java,,,3,14,,,,0.15,0,131,,10
File,OperationOnErrorResumeNextViaObservable.java,,,2,12,,,,0.96,1,50,,7
File,OperationOnErrorResumeNextViaObservableTest.java,,,3,12,,,,0.19,0,103,,6
File,OperationOnErrorReturn.java,,,2,10,,,,0.98,1,54,,7
File,OperationOnErrorReturnTest.java,,,3,11,,,,0.2,0,99,,7
File,OperationOnExceptionResumeNextViaObservable.java,,,2,13,,,,0.94,1,54,,7
File,OperationOnExceptionResumeNextViaObservableTest.java,,,3,22,,,,0.13,0,184,,9
File,OperationParallel.java,,,0,5,,,,0.56,2,32,,5
File,OperationParallelTest.java,,,0,4,,,,0.48,0,33,,4
File,OperationRefCount.java,,,4,6,,,,0.46,1,41,,4
File,OperationRetry.java,,,4,10,,,,0.29,2,63,,9
File,OperationRetryTest.java,,,2,7,,,,0.3,0,87,,6
File,OperationSample.java,,,6,12,,,,0.38,2,76,,11
File,OperationSampleTest.java,,,2,6,,,,0.21,0,77,,6
File,OperationScan.java,,,9,15,,,,0.7,2,87,,13
File,OperationScanTest.java,,,0,7,,,,0.19,0,77,,7
File,OperationSkip.java,,,4,9,,,,0.94,1,48,,8
File,OperationSkipLast.java,,,4,11,,,,0.74,1,65,,6
File,OperationSkipLastTest.java,,,0,6,,,,0.18,0,83,,6
File,OperationSkipTest.java,,,0,2,,,,0.43,0,35,,2
File,OperationSkipWhile.java,,,5,12,,,,0.29,2,65,,9
File,OperationSkipWhileTest.java,,,1,9,,,,0.17,0,86,,8
File,OperationSubscribeOn.java,,,4,7,,,,0.43,1,47,,7
File,OperationSubscribeOnTest.java,,,0,1,,,,0.48,0,31,,1
File,OperationSum.java,,,0,8,,,,0.54,4,37,,8
File,OperationSumTest.java,,,4,8,,,,0.17,0,89,,8
File,OperationSwitch.java,,,8,16,,,,0.27,1,110,,11
File,OperationSwitchTest.java,,,2,32,,,,0.05,0,305,,32
File,OperationSynchronize.java,,,3,5,,,,1.81,2,32,,4
File,OperationSynchronizeTest.java,,,1,13,,,,0.32,0,134,,13
File,OperationTake.java,,,6,21,,,,0.47,1,98,,11
File,OperationTakeLast.java,,,6,14,,,,0.4,1,75,,8
File,OperationTakeLastTest.java,,,0,6,,,,0.18,0,82,,6
File,OperationTakeTest.java,,,3,20,,,,0.1,0,177,,17
File,OperationTakeUntil.java,,,4,16,,,,0.42,3,83,,16
File,OperationTakeUntilTest.java,,,2,10,,,,0.14,0,131,,10
File,OperationTakeWhile.java,,,5,13,,,,0.73,3,73,,11
File,OperationTakeWhileTest.java,,,3,20,,,,0.1,0,174,,16
File,OperationThrottleFirst.java,,,0,5,,,,1.17,2,36,,4
File,OperationThrottleFirstTest.java,,,2,11,,,,0.24,0,94,,11
File,OperationTimeInterval.java,,,3,7,,,,0.43,2,51,,7
File,OperationTimeIntervalTest.java,,,4,2,,,,0.31,0,48,,2
File,OperationTimeout.java,,,4,16,,,,0.15,1,104,,8
File,OperationTimestamp.java,,,0,2,,,,1.93,1,15,,2
File,OperationToFuture.java,,,1,14,,,,0.45,1,77,,10
File,OperationToFutureTest.java,,,0,6,,,,0.29,0,55,,5
File,OperationToIterator.java,,,1,12,,,,0.55,1,58,,8
File,OperationToIteratorTest.java,,,0,3,,,,0.35,0,43,,3
File,OperationToObservableFuture.java,,,3,8,,,,0.67,2,43,,5
File,OperationToObservableFutureTest.java,,,0,2,,,,0.41,0,37,,2
File,OperationToObservableIterable.java,,,1,4,,,,1,1,23,,3
File,OperationToObservableIterableTest.java,,,0,1,,,,0.65,0,23,,1
File,OperationToObservableList.java,,,2,8,,,,0.81,1,42,,6
File,OperationToObservableListTest.java,,,0,2,,,,0.37,0,41,,2
File,OperationToObservableSortedList.java,,,3,12,,,,0.63,2,71,,10
File,OperationToObservableSortedListTest.java,,,0,3,,,,0.38,0,40,,3
File,OperationWindow.java,,,0,19,,,,2.43,11,100,,19
File,OperationWindowTest.java,,,1,32,,,,0.06,1,266,,31
File,OperationZip.java,,,11,38,,,,0.47,9,218,,22
File,OperationZipTest.java,,,1,33,,,,0.22,1,390,,26
File,OperatorTester.java,,,1,10,,,,0.72,1,46,,10
File,OperatorTesterTest.java,,,0,0,,,,3,0,5,,0
File,PerformanceTest.java,,,5,23,,,,0.63,1,150,,18
File,PublishSubject.java,,,1,11,,,,0.87,1,55,,8
File,PublishSubjectTest.java,,,1,26,,,,0.16,0,261,,24
File,Range.java,,,4,10,,,,0.31,3,48,,9
File,RangeTest.java,,,0,8,,,,0.38,1,39,,7
File,ReduceTests.java,,,0,9,,,,0.49,0,59,,9
File,RefCountTests.java,,,0,8,,,,0.27,0,99,,8
File,ReplaySubject.java,,,5,19,,,,0.3,1,116,,9
File,ReplaySubjectTest.java,,,1,12,,,,0.12,0,133,,12
File,ResponseConsumerBasic.java,,,3,11,,,,0.26,0,68,,10
File,ResponseConsumerDelegate.java,,,3,10,,,,0.46,0,59,,7
File,ResponseConsumerEventStream.java,,,4,14,,,,0.28,0,80,,10
File,ResponseDelegate.java,,,0,5,,,,1.06,0,17,,5
File,RxGroovyExtensionModule.java,,,0,23,,,,0.25,0,110,,9
File,RxGroovyPropertiesModuleFactory.java,,,0,1,,,,2.2,0,10,,1
File,RxJavaErrorHandler.java,,,0,1,,,,4.29,0,7,,1
File,RxJavaErrorHandlerDefault.java,,,0,1,,,,2.86,1,7,,1
File,RxJavaObservableExecutionHook.java,,,0,3,,,,3.88,0,17,,3
File,RxJavaObservableExecutionHookDefault.java,,,0,1,,,,2.71,1,7,,1
File,RxJavaPlugins.java,,,2,18,,,,1.11,2,65,,7
File,RxJavaPluginsTest.java,,,0,7,,,,0.31,1,61,,7
File,SafeObservableSubscription.java,,,1,9,,,,0.92,0,38,,6
File,SafeObservableSubscriptionTest.java,,,0,1,,,,1.07,0,14,,1
File,SafeObserver.java,,,3,11,,,,1.22,0,54,,4
File,ScanTests.java,,,0,3,,,,0.56,0,27,,3
File,ScheduledObserver.java,,,9,17,,,,0.39,0,87,,7
File,Scheduler.java,,,0,21,,,,1.19,0,108,,18
File,SchedulerUnsubscribeTest.java,,,0,10,,,,0.04,0,68,,9
File,Schedulers.java,,,2,12,,,,1.14,9,59,,12
File,SchedulersTest.java,,,3,64,,,,0.08,0,424,,47
File,SerialSubscription.java,,,3,9,,,,0.48,0,44,,3
