Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclClassMethod,CountDeclInstanceVariable
Class,PrintingUIWebContentsObserver,0,1,1,3,0,,4,3,0,0
Class,RendererCrashHandlerHostLinux,0,2,1,1,0,,19,5,1,0
Class,SQLitePersistentCookieStore,18,1,1,18,0,,11,11,0,1
Public Class,SQLitePersistentCookieStore::Backend,87,1,1,17,0,,29,29,0,21
Private Class,SQLitePersistentCookieStore::Backend::KillDatabaseErrorDelegate,50,1,1,2,0,,4,4,0,2
Private Class,SQLitePersistentCookieStore::Backend::KillDatabaseErrorDelegate::HistogramUniquifier,0,0,0,0,0,,1,0,1,0
Private Class,SQLitePersistentCookieStore::Backend::PendingOperation,33,0,0,1,0,,3,3,0,2
Public Class,ShellBrowserContext::ShellResourceContext,50,1,1,2,0,,8,8,0,1
Class,StickyPrintSettingGtk,40,0,0,0,0,,5,5,0,1
File,api_messages.cc,,,,,,0,,,,
File,api_messages.h,,,,,,0,,,,
File,app.cc,,,,,,0,,,,
File,app.h,,,,,,1,,,,
File,app_controller_mac.h,,,,,,0,,,,
File,app_protocol_handler.cc,,,,,,1,,,,
File,app_protocol_handler.h,,,,,,1,,,,
Class,autofill::AutofillPopupBaseView,100,1,2,4,0,,23,23,0,3
Abstract Class,autofill::AutofillPopupController,0,1,1,3,0,,17,17,0,0
Class,autofill::AutofillPopupControllerImpl,99,1,1,8,0,,53,52,1,16
Abstract Class,autofill::AutofillPopupView,100,0,0,1,0,,6,5,1,0
Class,autofill::AutofillPopupViewBridge,100,1,1,3,0,,11,8,0,3
Abstract Class,autofill::AutofillPopupViewDelegate,0,0,0,2,0,,10,10,0,0
Class,autofill::AutofillPopupViewGtk,100,1,1,10,0,,19,16,0,4
Class,autofill::AutofillPopupViewViews,100,1,2,3,0,,34,9,0,1
Struct,autofill::DataResource,0,0,0,0,0,,0,0,0,2
Class,autofill::PopupControllerCommon,95,0,0,5,0,,14,14,0,5
Class,autofill::TabAutofillManagerDelegate,96,1,3,7,0,,21,20,0,3
File,autofill_agent.cc,,,,,,0,,,,
File,autofill_agent.h,,,,,,1,,,,
File,autofill_popup_base_view.cc,,,,,,0,,,,
File,autofill_popup_base_view.h,,,,,,1,,,,
File,autofill_popup_controller.h,,,,,,1,,,,
File,autofill_popup_controller_impl.cc,,,,,,0,,,,
File,autofill_popup_controller_impl.h,,,,,,1,,,,
File,autofill_popup_view.h,,,,,,1,,,,
File,autofill_popup_view_bridge.h,,,,,,1,,,,
File,autofill_popup_view_cocoa.h,,,,,,0,,,,
File,autofill_popup_view_delegate.h,,,,,,1,,,,
File,autofill_popup_view_gtk.cc,,,,,,0,,,,
File,autofill_popup_view_gtk.h,,,,,,1,,,,
File,autofill_popup_view_views.cc,,,,,,0,,,,
File,autofill_popup_view_views.h,,,,,,1,,,,
File,base.cc,,,,,,0,,,,
File,base.h,,,,,,1,,,,
File,bindings_common.cc,,,,,,0,,,,
File,bindings_common.h,,,,,,0,,,,
Class,breakpad::MimeWriter,83,0,0,2,0,,13,13,0,4
File,breakpad_linux.cc,,,,,,1,,,,
File,breakpad_linux.h,,,,,,0,,,,
File,breakpad_mac.h,,,,,,0,,,,
File,breakpad_win.cc,,,,,,0,,,,
File,breakpad_win.h,,,,,,0,,,,
File,browser_dialogs.h,,,,,,0,,,,
File,capture_page_helper.cc,,,,,,0,,,,
File,capture_page_helper.h,,,,,,1,,,,
Class,chrome::ChromeBreakpadClient,0,1,1,2,0,,9,9,0,0
File,chrome_breakpad_client.cc,,,,,,0,,,,
File,chrome_breakpad_client.h,,,,,,1,,,,
File,chrome_event_processing_window.h,,,,,,0,,,,
File,clear_on_exit_policy.cc,,,,,,0,,,,
File,clear_on_exit_policy.h,,,,,,1,,,,
File,clipboard.cc,,,,,,0,,,,
File,clipboard.h,,,,,,1,,,,
File,color_chooser_dialog.cc,,,,,,0,,,,
File,color_chooser_dialog.h,,,,,,1,,,,
File,color_chooser_gtk.cc,,,,,,1,,,,
File,color_chooser_win.cc,,,,,,1,,,,
File,common_message_generator.h,,,,,,0,,,,
