sol,861223,859,859,859,859,0
ans,861223,102,102,102,102,100
alx,861223,79,79,79,79,800
sid,861223,224,224,224,224,0
bid,861223,159,159,159,159,0
eml,861223,200,200,200,200,8800
pnx,861223,594,594,594,594,2700
ccl,861223,249,249,249,249,3300
rtm,861223,62,62,62,62,0
fcl,861223,26,26,26,26,4500
snm,861223,300,300,300,300,0
bsd,861223,40,40,40,40,3000
rgc,861223,485,492,485,485,124800
bds,861223,150,150,150,150,36500
mod,861223,265,265,262,265,69900
ual,861223,13,13,13,13,222000
mgg,861223,25,25,23,25,28700
crs,861223,14,14,14,14,0
ihn,861223,52,52,52,52,0
gpt,861223,263,263,258,263,68300
ror,861223,150,150,150,150,0
wrf,861223,132,132,122,132,65000
dtv,861223,361,366,361,361,9700
ncl,861223,276,276,276,276,1300
rbs,861223,204,204,204,204,4500
jen,861223,164,164,164,164,8400
cim,861223,58,60,58,58,80000
fhf,861223,219,219,219,219,0
wmt,861223,264,264,264,264,170000
qrl,861223,161,162,161,161,75100
shr,861223,190,190,190,190,1000
arn,861223,433,433,433,433,100
moh,861223,21,21,21,21,0
plp,861223,248,250,245,248,77700
cpv,861223,125,125,125,125,0
sks,861223,149,149,149,149,0
kgm,861223,726,726,720,726,139200
age,861223,212,212,212,212,0
emd,861223,230,230,230,230,0
fbg,861223,361,362,361,361,376100
mlg,861223,130,133,130,130,22200
nio,861223,200,200,200,200,0
vpe,861223,9,9,9,9,0
qst,861223,72,72,72,72,0
wmc,861223,294,294,292,294,534800
mac,861223,140,140,140,140,0
sed,861223,72,72,72,72,1800
ldn,861223,2000,2000,2000,2000,300
bil,861223,664,673,664,673,28300
lko,861223,43,43,43,43,0
xpta,861223,94340,95820,94250,95430,0
lyg,861223,23,23,23,23,1400
bpt,861223,65,66,65,65,15000
scm,861223,134,134,134,134,0
abc,861223,296,301,296,296,17100
eqk,861223,80,80,80,80,301500
fmh,861223,198,198,198,198,16000
jsm,861223,610,610,610,610,2400
ahd,861223,144,144,144,144,0
nml,861223,330,330,330,330,2200
sst,861223,230,230,230,230,0
aov,861223,96,96,92,96,5700
ash,861223,233,237,233,233,0
wwh,861223,154,154,154,154,0
mdr,861223,58,58,58,58,4000
dat,861223,30,30,30,30,49000
nfm,861223,486,502,486,486,10600
pia,861223,170,170,170,170,0
gvm,861223,225,225,225,225,0
cnw,861223,42,42,42,42,5100
cho,861223,362,362,362,362,600
ahy,861223,15,15,15,15,11200
mpo,861223,160,160,150,160,251000
mag,861223,123,123,123,123,0
aqc,861223,73,73,73,73,3000
ggr,861223,51,51,51,51,0
ctr,861223,83,83,82,83,321200
lsc,861223,72,72,72,72,0
glp,861223,19,19,19,19,5000
gal,861223,23,23,23,23,0
mim,861223,141,144,141,141,80100
nom,861223,340,348,340,340,9600
vpm,861223,100,100,100,100,2000
aui,861223,186,186,186,186,0
gpa,861223,2250,2250,2250,2250,0
wdi,861223,392,392,392,392,0
swh,861223,210,210,210,210,6000
cad,861223,175,175,175,175,0
dor,861223,29,29,29,29,0
scx,861223,15,15,15,15,10000
fri,861223,380,380,360,380,500
cis,861223,30,30,30,30,0
osh,861223,89,89,89,89,76400
dmc,861223,340,340,340,340,0
eac,861223,222,222,222,222,0
bgm,861223,12,12,12,12,76000
cpc,861223,33,33,33,33,2700
pmu,861223,255,255,255,255,0
gmf,861223,276,276,276,276,25300
bkw,861223,1961,1961,1961,1961,400
mtk,861223,62,62,62,62,0
wsl,861223,210,211,210,210,4000
tnt,861223,282,282,279,282,135900
ssn,861223,22,23,22,22,23700
wjm,861223,310,310,310,310,0
gow,861223,282,282,282,282,0
csd,861223,175,175,175,175,1278100
khl,861223,105,105,100,105,32500
hco,861223,196,196,196,196,4200
amc,861223,355,360,355,355,408900
lmc,861223,32,32,32,32,0
run,861223,163,163,163,163,0
ssl,861223,48,48,48,48,0
kup,861223,99,99,99,99,4600
tny,861223,55,55,55,55,0
cfr,861223,26,28,26,26,136000
tmm,861223,75,75,75,75,1000
tal,861223,135,135,135,135,2200
btg,861223,39,39,39,39,53600
olh,861223,121,121,121,121,13200
aum,861223,89,89,89,89,12800
era,861223,720,720,700,720,1100
cvn,861223,52,52,52,52,28400
jrv,861223,7,7,7,7,98800
cpm,861223,45,45,45,45,0
nts,861223,26,26,26,26,0
ops,861223,327,327,327,327,2700
mtb,861223,21,21,21,21,34100
bmp,861223,154,154,154,154,0
grv,861223,25,25,25,25,0
bhp,861223,605,610,595,607,769400
bry,861223,268,271,268,268,24400
apg,861223,29,29,29,29,0
pdp,861223,287,291,287,287,117300
alc,861223,120,120,120,120,5000
erg,861223,145,145,141,145,29900
dnr,861223,46,46,45,46,1234300
wdp,861223,50,50,50,50,0
gsr,861223,375,375,375,375,2000
isr,861223,61,61,61,61,7100
imm,861223,142,144,137,142,0
syl,861223,60,60,60,60,0
gep,861223,68,68,68,68,155000
ate,861223,63,63,63,63,4600
pgo,861223,340,345,340,340,86800
gcm,861223,7,7,6,7,1116600
tru,861223,933,933,933,933,0
krs,861223,170,170,170,170,200
klz,861223,123,123,123,123,0
bog,861223,50,50,50,50,6000
jla,861223,514,514,514,514,400
grt,861223,83,83,83,83,63600
cnl,861223,225,225,225,225,0
flc,861223,291,291,291,291,0
alk,861223,131,131,131,131,200
fim,861223,15,15,15,15,16900
abf,861223,311,311,311,311,4800
ara,861223,6842,6861,6802,6842,1400
seq,861223,228,228,228,228,0
nps,861223,40,40,40,40,0
mln,861223,38,38,38,38,0
hrl,861223,98,98,98,98,44000
ape,861223,267,267,267,267,0
brh,861223,65,65,65,65,2000
tct,861223,373,373,373,373,0
caa,861223,120,120,120,120,0
lan,861223,135,135,135,135,4000
tgl,861223,7,7,7,7,16400
mrh,861223,76,81,76,76,46300
bhh,861223,270,275,270,270,281500
plu,861223,160,162,160,160,8000
ged,861223,70,70,68,70,36000
fec,861223,534,534,534,534,0
sdy,861223,136,136,136,136,0
tkr,861223,235,240,235,235,21000
psa,861223,59,59,59,59,100
her,861223,60,62,60,60,51500
sdi,861223,45,45,45,45,0
bae,861223,48,48,48,48,1900
