sol,861209,780,780,780,780,4500
ans,861209,102,102,102,102,100
sid,861209,224,224,224,224,0
alx,861209,75,75,75,75,1400
bid,861209,159,159,159,159,0
eml,861209,203,203,203,203,1800
pnx,861209,186,186,186,186,109100
ccl,861209,238,238,238,238,1700
rtm,861209,70,72,70,70,2000
fcl,861209,25,25,25,25,0
snm,861209,300,300,300,300,14700
bsd,861209,38,38,37,38,69300
rgc,861209,470,470,450,470,64600
bds,861209,150,150,150,150,1000
mgg,861209,25,26,25,25,26500
crs,861209,15,15,15,15,56500
ihn,861209,52,52,52,52,0
gpt,861209,263,263,258,263,15400
ror,861209,130,130,130,130,5000
wrf,861209,122,122,122,122,29000
dtv,861209,356,356,356,356,200
ncl,861209,264,264,260,264,10700
rbs,861209,191,191,191,191,0
jen,861209,164,164,164,164,18700
cim,861209,46,47,46,46,21000
fhf,861209,217,217,217,217,300
wmt,861209,228,228,228,228,0
qrl,861209,164,164,163,164,538300
shr,861209,205,205,205,205,0
arn,861209,417,417,417,417,2400
moh,861209,21,21,21,21,7500
plp,861209,255,260,255,255,16700
cpv,861209,105,105,105,105,2000
sks,861209,129,129,129,129,0
kgm,861209,730,740,730,730,4700
age,861209,212,212,212,212,0
emd,861209,250,250,250,250,400
fbg,861209,354,354,345,354,2277000
mlg,861209,118,119,117,118,95900
pay,861209,76,76,76,76,0
nio,861209,208,208,208,208,100
vpe,861209,11,11,11,11,0
qst,861209,70,70,70,70,500
wmc,861209,268,270,268,268,1832800
sed,861209,77,77,77,77,0
mac,861209,146,150,146,146,2700
bil,861209,676,682,673,676,7700
lko,861209,43,43,43,43,0
xpta,861209,92540,93420,92540,93410,0
lyg,861209,20,23,20,20,76800
bpt,861209,62,62,62,62,1700
scm,861209,102,102,102,102,0
abc,861209,276,276,276,276,0
fmh,861209,189,189,189,189,300
jsm,861209,684,684,684,684,0
ahd,861209,138,138,138,138,0
nml,861209,325,325,325,325,0
sst,861209,240,240,240,240,0
aov,861209,96,96,92,96,3000
ash,861209,224,224,219,224,0
wwh,861209,153,153,153,153,0
dat,861209,29,30,29,29,18000
nfm,861209,421,421,421,421,53600
pia,861209,170,170,170,170,0
gvm,861209,210,225,210,210,400
cnw,861209,44,44,44,44,0
cho,861209,362,362,362,362,800
ahy,861209,16,16,16,16,75000
mag,861209,116,116,116,116,0
ggr,861209,45,45,45,45,3300
aqc,861209,78,78,78,78,0
ctr,861209,69,69,68,69,41900
lsc,861209,76,76,75,76,5100
glp,861209,20,20,20,20,0
gal,861209,22,22,22,22,0
mim,861209,147,149,144,147,936000
nom,861209,309,309,309,309,7800
vpm,861209,110,110,110,110,0
aui,861209,186,186,186,186,16300
wdi,861209,392,392,392,392,0
swh,861209,200,200,200,200,0
cad,861209,153,153,153,153,0
dor,861209,32,32,32,32,27600
fri,861209,400,400,400,400,1200
cis,861209,35,35,35,35,20000
osh,861209,97,99,95,97,2661600
dmc,861209,360,360,360,360,0
eac,861209,222,222,222,222,0
bgm,861209,13,14,13,13,174000
cpc,861209,41,41,41,41,2700
bkw,861209,1924,1924,1813,1924,200
gmf,861209,258,261,255,258,266200
pmu,861209,230,230,230,230,6600
mtk,861209,60,60,60,60,0
wsl,861209,210,210,206,210,58100
tnt,861209,265,265,261,265,91900
ssn,861209,23,23,23,23,87500
wjm,861209,301,301,301,301,0
gow,861209,282,282,282,282,0
csd,861209,170,170,170,170,500
khl,861209,100,100,100,100,100000
hco,861209,237,245,237,237,1600
amc,861209,355,355,352,352,554200
lmc,861209,33,33,33,33,0
run,861209,175,175,175,175,0
ssl,861209,48,48,48,48,700
kup,861209,102,102,102,102,0
tny,861209,65,65,65,65,0
cfr,861209,17,17,16,17,290200
