gns,861114,100,100,100,100,0
cvn,861114,60,60,60,60,2300
csr,861114,283,283,275,280,728900
bmp,861114,154,154,154,154,1100
bhp,861114,583,583,575,581,565300
bic,861114,168,168,158,168,4600
pia,861114,160,160,160,160,0
erg,861114,149,153,149,149,81000
dgd,861114,41,41,41,41,69000
ptz,861114,132,148,132,132,1800
gpy,861114,94,94,94,94,3000
hrg,861114,452,452,420,452,2100
ihn,861114,50,50,50,50,0
wrf,861114,157,162,157,157,412000
mrc,861114,51,51,51,51,100
lsc,861114,80,80,80,80,0
nph,861114,171,171,171,171,0
brd,861114,47,47,47,47,0
cbl,861114,16,16,16,16,16900
syl,861114,60,60,60,60,0
mim,861114,136,137,136,136,723900
gwf,861114,19,19,19,19,8300
cag,861114,72,76,65,72,148500
aad,861114,151,151,149,151,2900
tir,861114,56,56,55,56,30600
npc,861114,246,246,246,246,0
tru,861114,956,956,956,956,0
seg,861114,44,44,44,44,12500
wdi,861114,425,457,425,425,1300
cad,861114,119,119,119,119,0
clr,861114,73,73,72,73,27500
fim,861114,16,16,16,16,0
sog,861114,155,155,155,155,3300
fri,861114,540,540,540,540,400
cis,861114,32,32,32,32,900
ala,861114,203,203,196,203,8000
seq,861114,146,146,146,146,0
rai,861114,47,47,47,47,0
sft,861114,150,150,141,150,1400
nab,861114,383,385,378,378,1414300
aca,861114,260,281,250,260,44700
rio,861114,651,679,651,651,148200
anz,861114,335,339,335,335,1828200
ppt,861114,680,680,680,680,0
tgl,861114,10,10,9,10,21800
mrh,861114,61,61,61,61,10200
msf,861114,517,517,517,517,0
tre,861114,45,45,45,45,12000
cml,861114,192,193,190,192,593100
bor,861114,291,295,291,291,1351100
sdy,861114,144,144,144,144,0
mac,861114,160,160,160,160,5000
vwd,861114,10,10,10,10,69500
her,861114,63,65,62,63,65800
cng,861114,181,182,180,181,53300
bil,861114,667,667,655,655,790500
pmt,861114,540,540,540,540,0
pmm,861114,379,379,368,379,7600
bae,861114,48,48,48,48,0
xpta,861114,94580,94730,93510,94340,0
amc,861114,346,358,341,346,124300
drm,861114,80,80,80,80,6000
awi,861114,61,61,61,61,3500
cir,861114,50,50,50,50,1900
scm,861114,91,91,91,91,0
agd,861114,56,56,56,56,0
cfr,861114,15,15,14,15,124000
wlh,861114,11838,11838,10146,11838,3600
mxt,861114,18,18,18,18,37400
bsc,861114,64,64,64,64,3700
fmh,861114,207,207,207,207,5000
