gns,861107,100,100,100,100,0
cvn,861107,60,60,60,60,900
csr,861107,298,302,298,298,736200
bmp,861107,163,163,163,163,4100
bhp,861107,589,592,589,589,477200
bic,861107,197,207,197,197,6500
pia,861107,160,160,160,160,1000
erg,861107,153,153,149,153,22600
dgd,861107,44,44,43,43,230000
ptz,861107,148,148,132,148,16900
gpy,861107,89,89,89,89,0
hrg,861107,355,387,355,355,300
ihn,861107,50,50,50,50,0
wrf,861107,186,186,186,186,6000
mrc,861107,51,51,51,51,0
lsc,861107,78,78,78,78,0
nph,861107,163,163,163,163,0
brd,861107,45,45,45,45,0
cbl,861107,12,12,12,12,0
syl,861107,60,60,60,60,0
mim,861107,147,150,146,147,154000
gwf,861107,19,19,19,19,0
cag,861107,63,63,63,63,25000
aad,861107,154,154,154,154,1400
tir,861107,39,39,39,39,39300
npc,861107,231,237,231,231,7700
tru,861107,956,956,956,956,100
seg,861107,44,44,44,44,23100
wdi,861107,444,444,444,444,0
cad,861107,113,113,113,113,0
clr,861107,82,83,78,82,209700
fim,861107,16,16,16,16,0
sog,861107,157,157,157,157,0
fri,861107,400,400,400,400,0
cis,861107,38,38,38,38,0
ala,861107,209,209,203,209,14600
seq,861107,146,146,146,146,0
rai,861107,47,47,47,47,0
sft,861107,126,126,122,126,3400
nab,861107,410,421,410,410,58200
aca,861107,312,318,302,312,211700
rio,861107,708,708,704,708,347000
anz,861107,347,350,347,347,462400
ppt,861107,680,680,680,680,2200
tgl,861107,10,10,10,10,0
mrh,861107,52,52,49,52,30500
msf,861107,517,517,517,517,0
tre,861107,45,45,43,45,6000
cml,861107,200,200,197,200,2345600
bor,861107,325,325,320,322,259300
sdy,861107,144,144,144,144,0
mac,861107,164,164,164,164,6500
vwd,861107,10,10,10,10,0
her,861107,67,68,66,67,93000
cng,861107,184,185,184,184,59200
bil,861107,660,664,660,664,82300
pmt,861107,540,540,540,540,0
pmm,861107,390,390,390,390,4900
bae,861107,48,48,48,48,0
xpta,861107,93820,96230,93820,96230,0
amc,861107,355,358,355,355,83200
drm,861107,90,90,90,90,8200
awi,861107,61,61,61,61,2200
cir,861107,47,47,47,47,11400
scm,861107,81,81,81,81,8900
agd,861107,56,56,56,56,0
cfr,861107,15,17,15,15,66000
wlh,861107,11274,11274,11274,11274,4800
mxt,861107,18,18,18,18,660100
bsc,861107,64,64,64,64,5000
fmh,861107,207,207,198,207,5700
