Project	CPFD[class]	CPFD[module]	NOA	NOACCM	SDC[method]	SDC[function]	NOOC[method]	NOOC[function]	NOC	NOM	NOPUBA	MAXNESTING[method]	MAXNESTING[function]	FANIN[method]	FANIN[function]	NOVRM	LDA[method]	LDA[function]	NOAV[method]	NOAV[function]	LOC[method]	LOC[function]	OCIO[method]	OCIO[function]	NOAM	NOCHLD	NOIC[method]	NOIC[function]	DR[method]	DR[function]	WOC[class]	WOC[module]	NAS	CYCLO[method]	CYCLO[function]	LOCOMM[method]	LOCOMM[function]	NOAC	NOPUBM	ICIO[method]	ICIO[function]	TCC[class]	TCC[module]	NOLV[method]	NOLV[function]	IF	SPIDX	CW	NOPAR[method]	NOPAR[function]	SEC[method]	SEC[function]	FDP[method]	FDP[function]	DIT	RFC	FANOUT[method]	FANOUT[function]	LCC[class]	LCC[module]	ODD	BUR	NOPRTM	LCOM	LB[method]	LB[function]	PNAS	ICDO[method]	ICDO[function]	CBO	OCDO[method]	OCDO[function]	NOPRTA	ALD[method]	ALD[function]	AMW	ATFD[method]	ATFD[function]	BOVR	ECGF	NOF	NOGF	NOGV	NOMOD	NOMV	TIME_IDX	TIME_INFUS	TIME_DUDE
clamwin-0.9.5.2-trimmed	4	773	2310	4	0	19258	481	19182	341	88	2272	85	4686	93	5552	0	85.54	1279.87	437	21613	1491	109462	15	3084	0	1	117	11297	15	802.71	289	28015	15	289	28015	384	14145	0	41	19	3110	6.42	179.15	129	8058	28.1	0	7.18	145	5258	0	17990	6	2665	1	90	328	9476	6.42	187.82	6	340.25	33	1014	0	221.23	1	5	1802	0	15	2020	11	179	508	15.06	6	8191	0	725	2692	1613	173	630	451	16.41	40.11	4.41
doxygen-1.5.9	660	318	2523	90	40533	82837	26688	22264	888	15188	1277	5070	5397	16267	6002	2030	14180.42	1642.81	23331	19510	104616	103544	8843	7013	800	241	28144	11347	2364.9	713.25	28102	20818	8758	28081	20818	24292	12694	103	14482	12687	3626	174.98	37.57	5994	6544	8.84	165.27	459.92	7824	3844	39411	79319	2635	1889	351	20687	16612	11564	174.86	41.41	2116	845.01	235	946831	279.04	243.94	109.48	7023	1899	1562	5267	3024	39	7347	4086	1011.67	4149	5605	61.71	659	2604	1598	369	862	1765	98.11	249.41	8.39
eMulePlus 1.2e-trimmed	885	31	4483	1086	7953	333	45698	1791	723	7312	1641	6622	390	10593	1566	279	6262.13	344.53	30539	1127	117184	5224	8280	154	136	279	16547	3149	1436.76	51.46	22587	946	1634	22501	946	12452	1616	57	5717	7569	1497	141.05	29.2	9327	503	12.51	83.96	351.15	7285	694	7557	309	4032	115	423	12622	24930	943	140.65	29.65	2933	664.31	1060	333397	165.82	11.17	144.83	5213	649	1628	4763	87	1052	11125	25	1194.33	7525	207	32.19	160	404	355	86	588	300	500.2	1039.88	3.38
DreaMule_3.1_src	715	155	4907	574	10471	2039	38393	11692	854	8032	1912	5091	1939	8672	1876	185	7278.89	1384.79	26494	5743	110030	33322	5754	1127	42	74	14989	5621	1017.46	240.14	21941	7068	443	21941	7068	13957	4282	13	5448	5897	1650	197.69	35.31	8604	3221	10.93	41.21	374.8	7925	2437	9727	1895	2510	523	98	11755	20474	6820	197.53	35.5	1331	822.67	1787	357597	143.2	42.8	41.13	4059	908	1011	3092	583	1502	9702	151	1142.56	4343	909	15.73	230	1655	1590	690	653	1080	78.45	331.39	3.64
DreaMule_3.1_src	696	155	4907	574	9987	1829	37805	11692	854	8032	1912	5053	1939	8646	1866	185	7287.78	1384.79	26287	5743	108681	33322	5670	1127	42	74	14989	5621	1013	240.14	21707	7068	443	21707	7068	13834	4282	13	5448	5873	1640	197.75	35.31	8475	3221	11.06	41.21	374.8	7923	2437	9250	1690	2482	523	98	11678	20188	6820	197.63	35.5	1322	822.67	1787	357645	139.2	41.82	41.13	4033	896	987	3054	583	1502	9662	151	1152.19	4304	909	15.73	230	1655	1590	690	653	1080	74.88	330.28	3.64
eMule 0.49c-trimmed	1072	157	4448	602	12196	1746	64353	7731	615	7907	1883	7632	1735	14138	2792	326	6528.34	967.33	38190	5485	142463	27952	10271	1091	107	138	23810	7469	1864.56	297.18	31893	5822	661	31893	5822	14751	3245	24	5731	9760	2441	133.37	54.93	13177	2470	13.8	59.41	299.33	8037	1923	11474	1600	4645	400	160	14681	32285	4192	132.97	55.56	2404	560.05	1809	313564	183.51	26.32	74.51	6787	1317	1820	5786	624	1380	12246	266	1374.78	8246	1099	29.99	367	1187	1057	157	735	587	62.05	250.45	5.41
eMuleMorph 0.49c-trimmed	1514	494	9599	835	22964	13454	82871	14924	2864	12686	5485	10417	4042	20588	6102	541	10750.16	4028.89	57921	16372	210341	85292	14479	3053	273	561	34845	13463	2817.38	801.32	47394	15771	1473	47394	15771	29564	14508	93	9285	13783	4665	863.21	223.21	19186	6487	42.76	186.31	1156.54	12697	9872	21654	12474	6422	1681	742	22394	43022	8901	862.71	225.92	3251	2745.67	2369	486260	332.1	220.57	231.46	9657	2748	2668	8210	1892	2258	18498	528	2451.14	12176	5095	70.19	1018	5060	4652	2036	1423	3177	226.7	761.28	13.28
Firebird-2.5.0.23247-Beta1-trimmed	942	2799	8338	202	5985	94330	24742	71921	1879	6542	6354	4071	15688	9586	20718	321	5547.67	7811.37	25002	97125	89746	412332	4490	12064	196	305	18156	38547	1722.16	3523.66	18571	72119	1172	18183	72119	7725	66063	61	4212	6925	10117	342.14	232.99	8553	35877	121.82	79.57	491.02	6579	22819	5604	87029	2439	16675	418	9226	12751	37740	341.43	271.13	712	1800.79	348	39141	138.05	1461.69	169.93	3554	4419	1249	3328	8618	200	7031	5056	2049.83	4641	39340	50.37	1924	12594	7581	7868	2221	11540	230.5	682.41	139.52
Greenstone-2.82-source-distribution	343	783	2733	118	3546	17404	7776	16572	562	2115	2342	1874	4716	3461	5026	183	1868.68	2425.83	9959	22056	35255	87893	2437	3667	53	81	5490	9219	578.73	980.62	6680	20155	291	6672	20155	4494	10237	13	1826	2721	3416	141.12	114.05	3477	9757	31.12	32.97	166.17	3143	6033	3338	16662	616	2431	105	3724	4872	8652	141.06	124.77	169	537.93	247	8719	84.49	305.81	45.75	1723	2237	625	1619	2542	323	2854	2481	670.03	1378	6474	21.45	778	3466	2633	1551	1592	2201	27.27	65.02	2.91
miktex-2.8-beta-2	557	3339	14675	528	19190	167222	29197	101422	2703	8305	11607	5135	27611	7861	41544	471	7663.26	9833.36	27437	130198	109425	557808	5570	25758	274	127	13682	75581	1409.92	5847.47	21004	123767	683	20989	123767	15376	60045	80	5818	4973	27192	207.22	345.94	8257	44104	181.12	80.27	410.22	10429	30902	17905	159793	1548	16776	183	11918	17138	56243	207.1	410.36	935	2663.91	1128	130281	201.44	1445.2	52.1	3355	13767	920	2983	14921	851	10247	10271	1425.78	3380	49405	41.31	4606	17996	10424	4489	2992	7512	80.08	311.56	91.64
ogre-1.6.3-trimmed	1946	158	6255	1650	35714	17030	66735	7137	1487	13308	2007	8493	1263	26439	1513	1901	11193.06	2690.61	57673	7289	207475	32790	20990	1420	356	811	45071	4139	4090.49	470.6	34329	6679	2372	34321	6679	28405	5297	102	11089	21694	863	449.63	101.9	17798	2200	129.82	396.34	854.11	16522	3529	33796	16346	6126	659	972	27136	39526	3028	449.6	103.2	6162	1261.22	1819	182179	518	87.22	237.23	14273	512	6034	12739	1014	3216	20027	2504	2965.93	11942	1547	288.27	410	3053	2661	2401	1257	2582	463.28	1009.01	8.91
PP Tactical Engine-0.9.6-trimmed	411	31	5175	826	15465	7659	21604	2731	622	4858	2133	3182	531	8708	1305	677	4254.42	531.58	18955	2001	69040	9992	7342	413	71	221	16136	2616	1465.8	105.3	11943	1841	759	11943	1841	8948	1985	18	4022	6589	1190	169.78	51.4	4170	595	39.68	256.63	286.34	4400	901	14850	7566	1827	130	379	9556	11775	1381	169.61	53.35	2729	583.81	419	40645	173.87	35	78.72	4424	546	1385	4845	303	161	9250	195	1032.58	4229	469	73.91	120	610	592	520	866	549	47.81	92.84	2.26
scorched3d-42.1-trimmed	709	190	9506	1970	5070	564	44114	10620	2475	16731	4645	4536	1293	18169	5211	1635	15562.35	5356.38	30824	9774	95115	27270	16969	3068	616	791	33553	11552	2459.91	663.12	20545	6888	2365	20545	6888	4844	5457	138	14207	15898	4066	412.12	62.22	9165	2847	43.81	550.18	1124.41	15304	8379	4862	500	4234	1270	1124	30194	24129	5421	412.08	64.6	6266	2249.34	1392	280929	104	14	282.5	12542	2558	5553	10754	1896	4076	12730	2119	2268.82	6992	2414	241.92	618	5935	5105	2747	2202	3167	316.91	634.95	3.87
scumvm-0.10.0-trimmed	2944	717	13248	384	326816	39844	77681	17356	1823	14938	7113	15434	3719	36465	9427	2050	11407.39	2898.32	100273	19614	289909	82898	28601	2766	435	421	60165	17569	6474.58	942.34	64064	15838	1909	63984	15838	19688	11238	87	8893	24608	7527	353.61	138.01	24294	7197	96.03	450.17	703.9	18586	5242	273777	34057	11214	2552	804	31269	46639	7615	353.59	150.69	3637	1696.21	3692	352866	467.32	139.22	146.5	15371	3058	5012	16612	1923	2708	34432	2000	3232.2	27668	6448	156	967	3947	2843	1240	1619	2428	147.26	406.43	51.31
Shareaza-2.4.0.0-trimmed	3690	198	6842	75	9742	5572	58484	13702	809	7586	4874	9892	3167	12531	6191	525	5655.73	1922.68	49576	17199	166381	82679	8746	248	14	279	19660	9644	2606.8	61.74	36223	19598	1046	36202	19598	9114	25542	8	4118	8431	795	205.93	38.26	14786	5973	23.2	82.71	291.17	7550	4388	9102	5382	9486	2587	373	13757	34114	7968	205.79	39.71	432	683.16	3297	48797	178.46	67.19	149.39	5998	565	3547	6200	129	1747	15535	214	2008.6	14119	7495	45.53	186	2989	1435	491	980	989	234.27	815.71	7.89
stellarium-0.10.2-trimmed	190	37	1328	303	1274	692	12339	6325	335	2285	446	1284	2143	3053	2871	305	1869.36	2411.92	8661	10743	28734	15240	2321	93	75	74	5041	5098	521.52	72.83	5223	7780	349	5189	7780	2893	683	23	1798	2280	273	75.58	24.27	2984	1102	11.99	28.41	147.04	2585	6283	1222	620	1004	65	89	3866	7051	3370	73.56	28.96	973	319.84	159	16326	30	18	39.88	1517	205	669	1426	87	115	3270	3370	468.27	1646	515	23.39	139	2452	2379	2657	309	3169	31.81	214.58	1.09
VirtualDub-1.9.4-src	1542	408	6977	495	7489	10519	30300	9850	1617	9533	2882	6862	2742	12010	3571	2202	8517.17	1904.79	44942	16067	127729	49255	9333	2306	1259	703	17453	5749	2600.21	672.62	28708	9685	2033	28173	9685	4659	1764	191	7907	9196	2783	444.69	130.15	13266	7780	40.35	718.37	810.68	9917	6292	7073	9885	3303	1275	1155	16534	20391	5802	444.64	135.36	1053	1512.46	1220	62616	190.1	168.69	268.54	6599	2183	2536	6201	1568	2971	17148	522	2845.72	7748	3364	253.12	1045	2567	2089	350	810	869	119.36	370.83	8.95
vlc-1.0.1	372	3419	11535	259	7004	65538	20577	65759	1935	4253	9717	2709	12966	3958	24733	286	3884.36	5374.38	14190	84128	52779	323401	4180	15608	328	351	5857	42340	1073.66	3879.86	9964	55392	714	9964	55392	3227	23862	60	3314	2873	17481	156.04	98.7	4289	26336	111.29	94.81	429.6	4776	20099	6363	59899	1000	14119	542	6871	11209	36758	155.63	111.43	646	1865.77	282	17851	132.53	617.67	200.75	1875	10558	829	2731	11081	261	5375	1452	990.17	1925	38885	48.42	1936	10747	4484	1550	3052	2462	104.64	263.53	25.51
WinMerge-2.12.4-src	462	236	2785	202	13617	20739	24534	10046	742	5583	1430	3495	2589	6134	2581	281	4962.57	1873.77	19720	10911	70699	59791	3793	1132	78	223	7931	4341	1225.86	373.31	13689	14462	736	13662	14462	8114	9737	24	3708	3561	1664	185.55	88.5	7042	4406	58.35	45.33	365.72	4866	4749	12808	20456	1289	832	276	7873	15911	5772	185.07	95.08	941	695.45	1225	73990	119.65	76.3	117.38	2229	1028	770	2566	730	487	6736	513	1239.56	2475	2455	28.83	479	2388	1388	742	1230	1626	40.48	104.25	4.03
WinSCP-4.2.2-trimmed	184	204	7397	16	4524	16558	5483	22639	759	1082	3959	980	5677	1012	8115	54	946.4	6546.34	5406	23146	23849	124661	632	5457	18	91	2203	11743	220.07	1424.57	4663	28754	77	4663	28754	975	15504	2	740	537	5601	50.18	153.84	1333	9645	37.94	3.74	31.12	1002	16059	4260	15876	420	1044	116	1422	2685	15366	50.18	164.38	114	738.25	160	2718	42.92	217.03	9.54	253	3882	180	420	3511	289	2316	814	456.27	1017	3276	2.65	1271	7242	5844	1085	967	3582	33.6	74.1	6.69
TortoiseCVS-1.9.14-trimmed	166	175	2351	181	1824	3148	15771	8744	574	3910	1172	1813	1756	4498	2991	202	3648.41	1109.21	11029	9559	41960	40093	3260	1619	37	197	6258	5741	939.63	386.86	7682	8457	598	7646	8457	3599	5362	17	2784	3040	1994	130.42	72.69	3940	3864	36.28	37.62	288.3	3539	3244	1719	3003	562	852	218	5822	9998	4657	130.05	78.68	581	539.57	321	25710	55.9	65.58	108.33	1841	1156	550	2096	938	348	4103	508	605.9	1014	2746	23.15	515	1584	1049	309	742	645	26.66	69.63	2.22
