Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountDeclMethodAll,CountDeclInstanceVariable,CountClassCoupled,CountClassBase,CountDeclClassMethod,CountClassDerived,CountDeclInstanceMethod
Class,nwapi::MenuItem,0,1,17,0,3,1,0,0,12
Class,nwapi::Shell,0,0,3,0,2,0,1,0,2
Class,nwapi::Tray,0,1,18,0,3,1,0,0,13
Class,nwapi::TrayObserver,33,1,3,1,2,1,0,0,3
Class,nwapi::Window,100,1,25,2,7,2,0,0,20
Class,nwapi::WindowBindings,0,1,9,0,1,1,5,0,4
Class,prerender::PrerendererClient,0,1,3,0,2,2,0,0,3
Class,printing::JobEventDetails,94,1,6,3,2,1,0,0,6
Class,printing::PrepareFrameAndViewForPrint,79,1,16,12,6,2,0,0,16
Class,printing::PrintJob,100,1,26,12,8,3,0,0,26
Class,printing::PrintJobManager,98,1,11,5,6,1,0,0,11
Class,printing::PrintJobWorker,99,1,20,6,7,1,0,0,20
Abstract Class,printing::PrintJobWorkerOwner,0,1,6,0,4,1,0,0,6
Class,printing::PrintViewManager,100,1,35,10,8,4,0,0,33
Abstract Class,printing::PrintViewManagerObserver,0,0,2,0,0,0,0,0,2
Class,printing::PrintWebViewHelper,100,1,51,18,11,2,3,0,48
Private Class,printing::PrintWebViewHelper::PrintPreviewContext,100,0,29,13,6,0,0,0,29
Class,printing::PrinterQuery,99,1,16,7,6,1,0,0,16
